PMID,sr_id,sr_name,sr_pmid,gt_title,gt_doi,gt_year,gt_authors,gt_journal,gt_country_region,review_status,note,raw_reference,created_at
37053126,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,"Epidemiologic and Clinical Features of Mpox-Associated Deaths - United States, May 10, 2022-March 7, 2023.",10.15585/mmwr.mm7215a5,2023,"Riser AP, Hanley A, Cima M, Lewis L, Saadeh K, Alarcón J, Finn L, Kim M, Adams J, Holt D, Feldpausch A, Pavlick J, English A, Smith M, Rehman T, Lubelchek R, Black S, Collins M, Mounsey L, Blythe D, Avalos MH, Lee EH, Samson O, Wong M, Stokich BD, Salehi E, Denny L, Waller K, Talley P, Schuman J, Fischer M, White S, Davis K, Caeser Cuyler A, Sabzwari R, Anderson RN, Byrd K, Gold JAW, Kindilien S, Lee JT, O'Connor S, O'Shea J, Salmon-Trejo LAT, Velazquez-Kronen R, Zelaya C, Bower W, Ellington S, Gundlapalli AV, McCollum AM, Zilversmit Pao L, Rao AK, Wong KK, Guagliardo SAJ",MMWR. Morbidity and mortality weekly report,,verified,,,2026-04-17T15:07:14.445395+00:00
37516243,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,"Clinical features, treatment, and outcomes of mpox in solid organ transplant recipients: A multicenter case series and literature review",10.1016/j.ajt.2023.07.016,2023,"Eibhlin Higgins, Nischal Ranganath, Omar Mehkri, Aneela Majeed, Jeremey Walker, Stephanie Spivack, Eric Bhaimia, Esther Benamu, Jonathan Hand, Shobhit Keswani, Dallas Dunn, Elena Beam, Raymund R Razonable",,,verified,,,2026-04-17T15:10:03.630355+00:00
38868307,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,Severe Mpox Among People With Advanced Human Immunodeficiency Virus Receiving Prolonged Tecovirimat in New York City,10.1093/ofid/ofae294,2024,"Elizabeth A Garcia, Mary M K Foote, Tristan D McPherson, Maura K Lash, Amma N Bosompem, Alyssa Bouscaren, Justin Chan, Madeline A DiLorenzo, Dennis Feihel, Randal C Fowler, Vani Gandhi, Elizabeth R Jenny-Avital, Erik J Kopping, Dana Mazo, Jacob McLean, Ofole Mgbako, Mark N Sayegh, Raphael N Shaw, Michelle Su, Jeanne Sullivan Meissner, Jade C Wang, Wendy Wen, John C Winters, Cosmina B Zeana, Jason Zucker, Marcia Wong",,,verified,,,2026-04-17T15:13:08.361143+00:00
38001044,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,Associations Between HIV and Severe Mpox in an Atlanta Cohort.,10.1093/infdis/jiad505,2024,"Aldred B, Scott JY, Aldredge A, Gromer DJ, Anderson AM, Cartwright EJ, Colasanti JA, Hall B, Jacob JT, Kalapila A, Kandiah S, Kelley CF, Lyles RH, Marconi VC, Nguyen ML, Rebolledo PA, Sheth AN, Szabo B, Titanji BK, Wiley Z, Workowski K, Cantos VD",The Journal of infectious diseases,,verified,,,2026-04-17T15:17:12.147324+00:00
31285143,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,Outbreak of human monkeypox in Nigeria in 2017-18: a clinical and epidemiological report.,10.1016/S1473-3099(19)30294-4,2019,"Yinka-Ogunleye A, Aruna O, Dalhat M, Ogoina D, McCollum A, Disu Y, Mamadu I, Akinpelu A, Ahmad A, Burga J, Ndoreraho A, Nkunzimana E, Manneh L, Mohammed A, Adeoye O, Tom-Aba D, Silenou B, Ipadeola O, Saleh M, Adeyemo A, Nwadiutor I, Aworabhi N, Uke P, John D, Wakama P, Reynolds M, Mauldin MR, Doty J, Wilkins K, Musa J, Khalakdina A, Adedeji A, Mba N, Ojo O, Krause G, Ihekweazu C, CDC Monkeypox Outbreak Team",The Lancet. Infectious diseases,,verified,,,2026-04-17T15:17:53.546476+00:00
38035733,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,Mpox (monkeypox) risk and mortality associated with HIV infection: a national case-control study in Nigeria.,10.1136/bmjgh-2023-013126,2023,"Yinka-Ogunleye A, Dalhat M, Akinpelu A, Aruna O, Garba F, Ahmad A, Adeleye A, Botson I, Oluwafemi B, Ogunbode O, Amao L, Ekripo U, Aliyu GG, Adetifa I, Ihekweazu C, Abubakar I",BMJ global health,,verified,,,2026-04-17T15:18:28.984016+00:00
37625431,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,Clinical characteristics and predictors of human mpox outcome during the 2022 outbreak in Nigeria: a cohort study,10.1016/S1473-3099(23)00427-9,2023,"Dimie Ogoina, Mahmood Muazu Dalhat, Ballah Akawu Denue, Mildred Okowa, Nneka Marian Chika-Igwenyi, Hakeem Abiola Yusuff, Umenzekwe Chukwudi Christian, Olukemi Adekanmbi, Anastacia Okwudili Ojimba, John Tunde Aremu, Kambai Lalus Habila, Sebastine Oseghae Oiwoh, Ekaete Alice Tobin, Simon Mafuka Johnson, Abimbola Olaitan, Chizaram Onyeaghala, Simji Samuel Gomerep, Datonye Alasia, Asukwo E Onukak, Juliet Mmerem, Uche Unigwe, Olanrewaju Falodun, Vivian Kwaghe, Sati Klein Awang, Mogaji Sunday, Chiedozie James Maduka, Aliyu Mamman Na'uzo, Sampson Omagbemi Owhin, Abdullahi Asara Mohammed, Mukhtar Abdulmajid Adeiza; Nigerian Infectious Diseases Society Mpox Study Group",,,verified,,,2026-04-17T15:20:15.370349+00:00
37294338,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,Risk factors for mortality and clinical presentation of monkeypox.,10.1097/QAD.0000000000003623,2023,"Triana-González S, Román-López C, Mauss S, Cano-Díaz AL, Mata-Marín JA, Pérez-Barragán E, Pompa-Mera E, Gaytán-Martínez JE","AIDS (London, England)",,verified,,,2026-04-17T15:21:10.178014+00:00
38465911,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,Clinical features and outcomes of mpox in people with and without HIV: a national comparative study.,10.1097/QAI.0000000000003407,2024,"Núñez I, Ceballos-Liceaga SE, Torre A, García-Rodríguez G, López-Martínez I, López-Gatell H, Mosqueda-Gómez JL, Valdés-Ferrer SI",Journal of acquired immune deficiency syndromes (1999),,verified,,,2026-04-17T15:21:36.751038+00:00
40266089,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,"Epidemiology and Clinical Features of Mpox in Jakarta, Indonesia, August 2022-December 2023.",10.3390/vaccines13030210,2025,"Nilasari H, Miranda E, Marissa M, Ruspitawati A, Handayani DOTL, Salama N, Setiawan B, Supriadi, Aisyah TV, Inggariwati, Haq AS, Zuhroh S, Safitri EY, Pramono RA, Wisnuwardani I, Nelwan EJ, Sinto R, Susilo A, Saharman YR, Ratnoglik SL, Pitawati NLP, Fauzan M, Hasanah SSA, Sharasti M, Yunihastuti E",Vaccines,,verified,,,2026-04-17T15:22:05.728947+00:00
29573840,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,"Investigation of an outbreak of monkeypox in an area occupied by armed groups, Central African Republic.",10.1016/j.medmal.2018.02.010,2018,"Kalthan E, Tenguere J, Ndjapou SG, Koyazengbe TA, Mbomba J, Marada RM, Rombebe P, Yangueme P, Babamingui M, Sambella A, Nakoune ER",Medecine et maladies infectieuses,,verified,,,2026-04-17T15:23:43.563166+00:00
38986546,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,Mpox: South Africa reports 20 new cases and three deaths.,10.1136/bmj.q1529,2024,Mahase E,BMJ (Clinical research ed.),,verified,,,2026-04-17T15:24:07.177837+00:00
38325363,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,"Concurrent Clade I and Clade II Monkeypox Virus Circulation, Cameroon, 1979-2022",10.3201/eid3003.230861,2024,"Delia D Djuicy, Serge A Sadeuh-Mba, Chanceline N Bilounga, Martial G Yonga, Jules B Tchatchueng-Mbougua, Gael D Essima, Linda Esso, Inès M E Nguidjol, Steve F Metomb, Cornelius Chebo, Samuel M Agwe, Placide A Ankone, Firmin N N Ngonla, Hans M Mossi, Alain G M Etoundi, Sara I Eyangoh, Mirdad Kazanji, Richard Njouom",,,verified,,,2026-04-17T15:25:03.100965+00:00
37211342,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,Clinical and epidemiological characteristics of mpox: A descriptive cases series in Colombia,10.1016/j.tmaid.2023.102594,2023,"Carlos A Álvarez-Moreno, Juan C Alzate-Ángel, Ilich H De La Hoz-Siegler, Adriana Bareño, Mónica Mantilla, Otto Sussman, Sandra Valderrama-Beltrán, Jose Y Rodriguez, Leonardo Arévalo, Javier Andrade-Sierra, Mónica Padilla, Ludovic Reveiz",,,verified,,,2026-04-17T15:26:28.619286+00:00
39024895,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,Epidemiological and clinical characteristics of monkeypox among people with and without HIV in Peru: a national observational study.,10.1016/j.jiph.2024.102494,2024,"Ramírez-Soto MC, Arroyo-Hernández H",Journal of infection and public health,,verified,,,2026-04-17T15:26:53.374236+00:00
38756609,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,Hospitalization determinants in patients with Mpox disease: The CEME-22 Project.,10.1016/j.heliyon.2024.e30564,2024,"Olivencia GR, García MMV, Arribas MV, Casabona J, Martínez MJ, De Novales FJM, CEME-22 Study Group. Study Group team members are listed in the Acknowledgments",Heliyon,,verified,,,2026-04-17T15:27:56.248601+00:00
36828001,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,Mpox in people with advanced HIV infection: a global case series.,10.1016/S0140-6736(23)00273-8,2023,"Mitjà O, Alemany A, Marks M, Lezama Mora JI, Rodríguez-Aldama JC, Torres Silva MS, Corral Herrera EA, Crabtree-Ramirez B, Blanco JL, Girometti N, Mazzotta V, Hazra A, Silva M, Montenegro-Idrogo JJ, Gebo K, Ghosn J, Peña Vázquez MF, Matos Prado E, Unigwe U, Villar-García J, Wald-Dickler N, Zucker J, Paredes R, Calmy A, Waters L, Galvan-Casas C, Walmsley S, Orkin CM, SHARE-NET writing group","Lancet (London, England)",,verified,,,2026-04-17T15:28:22.092597+00:00
