disease,status,ground_truth_count,screened_count,tp,fp,fn,tn,strong_count,possible_count,unlikely_count,missing_count,error_count,recall,precision,specificity,npv,f1,accuracy,workload_reduction,nns,mcc,wss95,profile,topic,project,model,prompt_style,experiment,raw_file,ground_truth_file,screened_file
covid19,ok,25,709,23,446,2,238,0,23,2,0,0,0.92,0.049041,0.347953,0.991667,0.093117,0.368124,0.338505,20.391304,0.10444,0.288505,P15,reproduction_number,15,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p15/project_15_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p15/project_15_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p15/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_15_screened.csv
covid19,ok,32,575,31,358,1,185,0,31,1,0,0,0.96875,0.079692,0.3407,0.994624,0.147268,0.375652,0.323478,12.548387,0.151647,0.273478,P16,reproduction_number,16,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p16/project_16_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p16/project_16_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p16/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_16_screened.csv
covid19,ok,15,209,14,128,1,66,0,14,1,0,0,0.933333,0.098592,0.340206,0.985075,0.178344,0.382775,0.320574,10.142857,0.151281,0.270574,P17,reproduction_number,17,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p17/project_17_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p17/project_17_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p17/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_17_screened.csv
mpox,ok,17,331,13,133,4,181,0,13,4,0,0,0.764706,0.089041,0.576433,0.978378,0.159509,0.586103,0.558912,11.230769,0.151656,0.508912,MP4,fatality,4,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p4/project_4_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p4/project_4_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p4/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_4_screened.csv
mpox,ok,8,85,6,34,2,43,0,6,2,0,0,0.75,0.15,0.558442,0.955556,0.25,0.576471,0.529412,6.666667,0.180438,0.479412,MP5,serial_interval,5,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p5/project_5_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p5/project_5_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p5/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_5_screened.csv
mpox,ok,5,72,4,28,1,39,0,4,1,0,0,0.8,0.125,0.58209,0.975,0.216216,0.597222,0.555556,8.0,0.195471,0.505556,MP6,serial_interval,6,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p6/project_6_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p6/project_6_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p6/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_6_screened.csv
mpox,ok,33,1324,22,509,11,782,0,22,11,0,0,0.666667,0.041431,0.605732,0.986129,0.078014,0.607251,0.598943,24.136364,0.086645,0.548943,MP7,fatality,7,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p7/project_7_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p7/project_7_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p7/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_7_screened.csv
mpox,ok,20,1947,16,928,4,999,0,16,4,0,0,0.8,0.016949,0.518422,0.996012,0.033195,0.521315,0.515152,59.0,0.064243,0.465152,MP8,fatality,8,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p8/project_8_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p8/project_8_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p8/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_8_screened.csv
mpox,ok,3,1029,3,350,0,676,0,3,0,0,0,1.0,0.008499,0.658869,1.0,0.016854,0.659864,0.656948,117.666667,0.07483,0.606948,MP9,reproduction_number,9,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/reproduction_number/ground_truth/p9/project_9_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/reproduction_number/ground_truth/p9/project_9_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/reproduction_number/ground_truth/p9/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_9_screened.csv
mpox,ok,15,166,13,66,2,85,0,13,2,0,0,0.866667,0.164557,0.562914,0.977011,0.276596,0.590361,0.524096,6.076923,0.246607,0.474096,MP10,serial_interval,10,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p10/project_10_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p10/project_10_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p10/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_10_screened.csv
mpox,ok,5,63,4,32,1,26,0,4,1,0,0,0.8,0.111111,0.448276,0.962963,0.195122,0.47619,0.428571,9.0,0.135613,0.378571,MP11,serial_interval,11,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p11/project_11_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p11/project_11_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p11/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_11_screened.csv
mpox,ok,16,484,14,222,2,246,0,14,2,0,0,0.875,0.059322,0.525641,0.991935,0.111111,0.53719,0.512397,16.857143,0.143303,0.462397,MP12,fatality,12,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p12/project_12_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p12/project_12_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p12/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_12_screened.csv
