PMID,is_ground_truth,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Keywords,Abstract,screening_stage,llm_suggest,overall_score,overall_justification,disease_score,disease_justification,population_score,population_justification,location_score,location_justification,evidence_score,evidence_justification,transmission_score,transmission_justification,fulltext_status,fulltext_path
36878392,,Nasopharyngeal SARS-CoV-2 load and perinatal outcomes after maternal infection diagnosed close to delivery.,"Vivanti AJ, Vauloup-Fellous C, Khalil A, Badr DA, Raimondi F, Salome S, Prasad S, Portella G, Fiorenza M, Jani JC, Landraud L, Picone O, Pezza L, Bourgeois-Nicolaos N, Cordier AG, Vedovelli L, De Luca D.",J Gynecol Obstet Hum Reprod. 2023 May;52(5):102569. doi: 10.1016/j.jogoh.2023.102569. Epub 2023 Mar 5.,Vivanti,Journal of gynecology obstetrics and human reproduction,2023,2023/3/6,PMC9985537,,10.1016/j.jogoh.2023.102569,Asphyxia; Birth weight; COVID-19; NICU; Neonate; Pregnancy; Prematurity,"BACKGROUND: The occurrence of COVID-19 during the pregnancy can cause several negative maternal and neonatal outcomes. Nasopharyngeal viral load is associated with inflammatory markers and might influence the disease severity in non-pregnant patients, but there are no data about the relationship between viral load and perinatal outcomes in pregnant patients. OBJECTIVE: To investigate the hypothesis that nasopharyngeal SARS-CoV-2 load (estimated with real-time polymerase chain reaction delta cycle (ΔCt), measured in hospital clinical laboratories) is associated with perinatal outcomes, when COVID-19 is diagnosed in the third trimester of pregnancy. STUDY DESIGN: International, retrospective, observational, multi-center, cohort study enrolling 390 women (393 neonates, three pairs of twins), analyzed with multivariate generalized linear models with skewed distributions (gamma) and identity link. The analyses were conducted for the whole population and then followed by a subgroup analysis according to the clinical severity of maternal COVID-19. RESULTS: The estimated viral load in maternal nasopharynx is not significantly associated with gestational age at birth (adjusted B: -0.008 (95%CI: -0.04; 0.02); p = 0.889), birth weight (adjusted B: 4.29 (95%CI: -25; 35); p = 0.889), weight Z-score (adjusted B: -0.01 (95%CI: -0.03; 1); p = 0.336), 5' Apgar scores (adjusted B: -0. -9.8e-4 (95%CI: -0.01; 0.01); p = 0.889), prematurity (adjusted OR: -0.97 (95%CI: 0.93; 1.03); p = 0.766) and the small for gestational age status (adjusted OR: 1.03 (95%CI: 0.99; 1.07); p = 0.351). Similar results were obtained in subgroup analyses according to COVID-19 clinical severity. CONCLUSIONS: The estimated maternal nasopharyngeal viral load in pregnant women affected by COVID-19 during the third trimester is not associated with main perinatal outcomes.",title_abstract,unlikely_candidate,2,"Although it is an original multicenter human cohort study on SARS-CoV-2 in pregnancy, it does not address variants and does not report/estimate serial interval or generation time. The outcomes are clinical/perinatal rather than transmission-interval parameters relevant to the review question.",1,"Investigates SARS-CoV-2/COVID-19 in pregnancy, but there is no explicit variant/lineage/mutation component (e.g., Omicron/Delta) mentioned.",4,"Human study in pregnant women and neonates, directly relevant population-wise.",3,"International, multicenter human cohort study; geographic setting is real-world but specific countries/regions are not listed in the abstract.",4,"Retrospective, observational multicenter cohort with 390 women and multivariable analyses—original empirical data.",0,Focuses on maternal nasopharyngeal viral load and perinatal outcomes; no estimation or reporting of serial interval or generation time (or related transmission-interval metrics) is described.,,
35128705,,Omicron variant as nature's solution to the COVID-19 pandemic.,Li Wan Po A.,J Clin Pharm Ther. 2022 Jan;47(1):3-5. doi: 10.1111/jcpt.13614.,Li,Journal of clinical pharmacy and therapeutics,2022,2022/2/7,PMC9114904,,10.1111/jcpt.13614,Clinical Pharmacy history; Collaborative healthcare; Pharmacy Education,"WHAT IS KNOWN AND OBJECTIVE: Omicron is a variant of the COVID-19 virus that is causing considerable concern worldwide, with an increasing number of countries re-imposing national lockdowns. Our objective is to comment on its impact and to suggest that, threatening as it is, Omicron may well contribute to a resolution of the current pandemic. COMMENT: On 31 December 2019, the World Health Organization (WHO) reported on a cluster of cases of pneumonia in Wuhan, China. Soon after, Chinese investigators who made the discovery identified the causative virus as a new coronavirus, now known as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). An effective vaccine was licenced for emergency use within a year of its first sequencing. SARS-CoV-2, in common with many respiratory viruses, mutates rapidly, and the challenge for vaccine developers is to obtain vaccines that are effective against the new variants. The licenced first-generation vaccines were fortunately all highly effective against the variant known as Delta. The variant of greatest current concern is the Omicron variant, a highly infectious agent, which seems to show a significant vaccine escape with existing vaccines. Infection protects against further infection. If Omicron turns out to cause less severe disease, it may well be a contributor to ending the pandemic. WHAT IS NEW AND CONCLUSION: It is unlikely that the available vaccines will bring rapid control of the current pandemic, given their patchy availability worldwide and the residual pool of unvaccinated people. New vaccines take time to develop and to deploy even in the age of mRNA vaccines. If Omicron turns out to be relatively mild, it may well be that when we look back at the history of the current pandemic, the variant would be seen as a contributor to its solution. The hand of nature may well show more largesse than the developed nations in immunizing the world.",title_abstract,unlikely_candidate,2,"Although it discusses SARS-CoV-2 variants (Omicron and Delta), it is a commentary without original empirical analysis and does not report/estimate serial interval or generation time. Therefore it is very unlikely to inform the review’s target transmission parameters.",4,"Explicitly about SARS-CoV-2/COVID-19 and compares variants (Omicron, Delta) in the context of mutation/variant emergence.",2,"The discussion pertains to human infections and vaccination at a population level, but no specific human study population is analyzed.",1,No specific study setting or country/region is described; it is a general commentary about the pandemic.,0,This is explicitly a comment/perspective piece and does not report original empirical data or new estimates.,1,"Mentions Omicron as “highly infectious” and discusses vaccine escape, but provides no serial interval/generation time estimates (or clear indication these are analyzed).",,
34986169,✓,"Transmission and containment of the SARS-CoV-2 Delta variant of concern in Guangzhou, China: A population-based study.","Li L, Han ZG, Qin PZ, Liu WH, Yang Z, Chen ZQ, Li K, Xie CJ, Ma Y, Wang H, Huang Y, Fan SJ, Yan ZL, Ou CQ, Luo L.",PLoS Negl Trop Dis. 2022 Jan 5;16(1):e0010048. doi: 10.1371/journal.pntd.0010048. eCollection 2022 Jan.,Li,PLoS neglected tropical diseases,2022,2022/1/5,PMC8730460,,10.1371/journal.pntd.0010048,[MeSH] Adult; [MeSH] Aged; [MeSH] Basic Reproduction Number; [MeSH] COVID-19; [MeSH] COVID-19 Vaccines; [MeSH] China; [MeSH] Communicable Disease Control; [MeSH] Female; [MeSH] Humans; [MeSH] Male; [MeSH] Middle Aged; [MeSH] Primary Prevention; [MeSH] SARS-CoV-2; [MeSH] Severity of Illness Index; [MeSH] Vaccination; [MeSH] Young Adult,"BACKGROUND: The first community transmission of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) Delta variant of concern (VOC) in Guangzhou, China occurred between May and June 2021. Herein, we describe the epidemiological characteristics of this outbreak and evaluate the implemented containment measures against this outbreak. METHODOLOGY/PRINCIPAL FINDINGS: Guangzhou Center for Disease Control and Prevention provided the data on SARS-CoV-2 infections reported between 21 May and 24 June 2021. We estimated the incubation period distribution by fitting a gamma distribution to the data, while the serial interval distribution was estimated by fitting a normal distribution. The instantaneous effective reproductive number (Rt) was estimated to reflect the transmissibility of SARS-CoV-2. Clinical severity was compared for cases with different vaccination statuses using an ordinal regression model after controlling for age. Of the reported local cases, 7/153 (4.6%) were asymptomatic. The median incubation period was 6.02 (95% confidence interval [CI]: 5.42-6.71) days and the means of serial intervals decreased from 5.19 (95% CI: 4.29-6.11) to 3.78 (95% CI: 2.74-4.81) days. The incubation period increased with age (P<0.001). A hierarchical prevention and control strategy against COVID-19 was implemented in Guangzhou, with Rt decreasing from 6.83 (95% credible interval [CrI]: 3.98-10.44) for the 7-day time window ending on 27 May 2021 to below 1 for the time window ending on 8 June and thereafter. Individuals with partial or full vaccination schedules with BBIBP-CorV or CoronaVac accounted for 15.3% of the COVID-19 cases. Clinical symptoms were milder in partially or fully vaccinated cases than in unvaccinated cases (odds ratio [OR] = 0.26 [95% CI: 0.07-0.94]). CONCLUSIONS/SIGNIFICANCE: The hierarchical prevention and control strategy against COVID-19 in Guangzhou was timely and effective. Authorised inactivated vaccines are likely to contribute to reducing the probability of developing severe disease. Our findings have important implications for the containment of COVID-19.",title_abstract,strong_candidate,4,"Directly examines SARS-CoV-2 Delta variant transmission in humans using population-based outbreak data and explicitly estimates the serial interval distribution (key outcome of interest). Although generation time is not explicitly mentioned, the serial interval estimate alone makes it highly relevant to the review question.",4,"Explicitly focuses on SARS-CoV-2 COVID-19 and the Delta variant of concern, including transmission/containment during a Delta outbreak.",4,Human cases from a community outbreak are analyzed; MeSH terms include Humans and multiple adult age groups.,4,"Study is explicitly conducted in Guangzhou, China, describing a defined local Delta VOC outbreak (May–June 2021).",4,"Uses Guangzhou CDC line-list/outbreak data (21 May–24 June 2021) and fits distributions to estimate parameters (incubation period, serial interval) and Rt.",4,Explicitly estimates serial interval distribution and reports changes in mean serial interval; also estimates Rt (and mentions basic reproduction number in keywords).,,
36347306,,Ascertainment rate of SARS-CoV-2 infections from healthcare and community testing in the UK.,"Colman E, Puspitarani GA, Enright J, Kao RR.",J Theor Biol. 2023 Feb 7;558:111333. doi: 10.1016/j.jtbi.2022.111333. Epub 2022 Nov 5.,Colman,Journal of theoretical biology,2023,2022/11/8,PMC9636607,,10.1016/j.jtbi.2022.111333,Ascertainment rate; Infection fatality rate; SARS-CoV-2,"The proportion of SARS-CoV-2 infections ascertained through healthcare and community testing is generally unknown and expected to vary depending on natural factors and changes in test-seeking behaviour. Here we use population surveillance data and reported daily case numbers in the United Kingdom to estimate the rate of case ascertainment. We mathematically describe the relationship between the ascertainment rate, the daily number of reported cases, population prevalence, and the sensitivity of PCR and Lateral Flow tests as a function time since exposure. Applying this model to the data, we estimate that 20%-40% of SARS-CoV-2 infections in the UK were ascertained with a positive test with results varying by time and region. Cases of the Alpha variant were ascertained at a higher rate than the wild type variants circulating in the early pandemic, and higher again for the Delta variant and Omicron BA.1 sub-lineage, but lower for the BA.2 sub-lineage. Case ascertainment was higher in adults than in children. We further estimate the daily number of infections and compare this to mortality data to estimate that the infection fatality rate increased by a factor of 3 during the period dominated by the Alpha variant, and declined in line with the distribution of vaccines. This manuscript was submitted as part of a theme issue on ""Modelling COVID-19 and Preparedness for Future Pandemics"".",title_abstract,unlikely_candidate,3,"The paper is clearly about SARS-CoV-2 and explicitly compares ascertainment across variants including Delta and Omicron (BA.1/BA.2) using UK surveillance data. However, its primary outcomes are case ascertainment and infection fatality rate; the abstract does not mention estimating serial interval or generation time. Therefore it is unlikely to directly answer the review question despite being variant-focused and empirical.",4,"Explicitly studies SARS-CoV-2 infections and compares ascertainment across variants including Alpha, Delta, and Omicron sub-lineages (BA.1/BA.2).",4,"Focuses on human infections in the general UK population, with subgroup comparison (adults vs children).",4,"Study uses population surveillance and reported case data in the United Kingdom, with results varying by time and region.",3,"Reports original modeling analyses calibrated to UK surveillance prevalence data and daily reported case numbers, producing new estimates of ascertainment and infections over time.",1,"Discusses testing sensitivity as a function of time since exposure and models infections/ascertainment, but does not explicitly report or estimate serial interval or generation time in the title/abstract.",,
35914518,✓,"Epidemiology of Infections with SARS-CoV-2 Omicron BA.2 Variant, Hong Kong, January-March 2022.","Mefsin YM, Chen D, Bond HS, Lin Y, Cheung JK, Wong JY, Ali ST, Lau EHY, Wu P, Leung GM, Cowling BJ.",Emerg Infect Dis. 2022 Sep;28(9):1856-1858. doi: 10.3201/eid2809.220613. Epub 2022 Aug 1.,Mefsin,Emerging infectious diseases,2022,2022/8/1,PMC9423929,,10.3201/eid2809.220613,BA.2; COVID-19; China; Hong Kong; Omicron; SARS-CoV-2; coronavirus disease; epidemiology; fatality; respiratory infections; severe acute respiratory syndrome coronavirus 2; vaccine-preventable diseases; viruses; zoonoses,Our analysis of data collected from multiple epidemics in Hong Kong indicated a shorter serial interval and generation time of infections with the SARS-CoV-2 Omicron variant. The age-specific case-fatality risk for Omicron BA.2.2 case-patients without complete primary vaccination was comparable to that of persons infected with ancestral strains in earlier waves.,title_abstract,strong_candidate,4,"The abstract directly reports estimates of serial interval and generation time for SARS-CoV-2 Omicron (BA.2) using Hong Kong epidemic data, matching the core outcome and variant focus. It is human epidemiologic analysis with clear setting and timeframe, and appears to provide original empirical estimates.",4,Focuses on SARS-CoV-2/COVID-19 and explicitly on the Omicron BA.2 variant (BA.2.2 mentioned) with comparison to ancestral strains.,4,"Discusses case-patients, vaccination status, and age-specific case-fatality risk, indicating human populations.",4,Study is explicitly set in Hong Kong (January–March 2022).,4,"States an analysis of data collected from multiple epidemics in Hong Kong, implying original empirical estimation rather than a review/commentary.",4,"Abstract explicitly reports a shorter serial interval and generation time for Omicron infections, which are the target transmission timing metrics.",,
35487339,,Clinical and laboratory profiles of the SARS-CoV-2 Delta variant compared with pre-Delta variants.,"Bhakta S, Sanghavi DK, Johnson PW, Kunze KL, Neville MR, Wadei HM, Bosch W, Carter RE, Shah SZ, Pollock BD, Oman SP, Speicher L, Siegel J, Libertin CR, Matson MW, Moreno Franco P, Cowart JB.",Int J Infect Dis. 2022 Jul;120:88-95. doi: 10.1016/j.ijid.2022.04.050. Epub 2022 Apr 26.,Bhakta,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,2022,2022/4/29,PMC9040426,,10.1016/j.ijid.2022.04.050,COVID-19; Delta variant; Genomics; Gradient boosting model; Machine learning; Variants of concern,"OBJECTIVES: The emergence of SARS-CoV-2 variants of concern has led to significant phenotypical changes in transmissibility, virulence, and public health measures. Our study used clinical data to compare characteristics between a Delta variant wave and a pre-Delta variant wave of hospitalized patients. METHODS: This single-center retrospective study defined a wave as an increasing number of COVID-19 hospitalizations, which peaked and later decreased. Data from the United States Department of Health and Human Services were used to identify the waves' primary variant. Wave 1 (August 8, 2020-April 1, 2021) was characterized by heterogeneous variants, whereas Wave 2 (June 26, 2021-October 18, 2021) was predominantly the Delta variant. Descriptive statistics, regression techniques, and machine learning approaches supported the comparisons between waves. RESULTS: From the cohort (N = 1318), Wave 2 patients (n = 665) were more likely to be younger, have fewer comorbidities, require more care in the intensive care unit, and show an inflammatory profile with higher C-reactive protein, lactate dehydrogenase, ferritin, fibrinogen, prothrombin time, activated thromboplastin time, and international normalized ratio compared with Wave 1 patients (n = 653). The gradient boosting model showed an area under the receiver operating characteristic curve of 0.854 (sensitivity 86.4%; specificity 61.5%; positive predictive value 73.8%; negative predictive value 78.3%). CONCLUSION: Clinical and laboratory characteristics can be used to estimate the COVID-19 variant regardless of genomic testing availability. This finding has implications for variant-driven treatment protocols and further research.",title_abstract,unlikely_candidate,3,"Although the study is clearly about SARS-CoV-2 variants (Delta vs pre-Delta) in hospitalized humans and provides original empirical data, it focuses on clinical/laboratory profiles and variant classification. The abstract does not report or indicate estimation of serial interval or generation time (or other transmission-interval metrics), so it is unlikely to address the review’s key outcomes.",4,Explicitly investigates SARS-CoV-2/COVID-19 and compares Delta variant vs pre-Delta variants.,4,Hospitalized COVID-19 patients (humans) in a single-center cohort.,3,Single-center retrospective study in the United States; geographic setting is clear but not restrictive for the review question.,4,Reports original retrospective clinical cohort data (N=1318) with statistical/ML analyses comparing Delta vs pre-Delta waves.,0,"Mentions changes in transmissibility as background only; analyses are clinical/lab comparisons and ML prediction of variant wave, with no serial interval or generation time estimation described.",,
35182711,,Rapid detection of SARS-CoV-2 variants using allele-specific PCR.,"Brito-Mutunayagam S, Maloney D, McAllister G, Dewar R, McHugh M, Templeton K.",J Virol Methods. 2022 May;303:114497. doi: 10.1016/j.jviromet.2022.114497. Epub 2022 Feb 16.,Brito-Mutunayagam,Journal of virological methods,2022,2022/2/19,PMC8848537,,10.1016/j.jviromet.2022.114497,Allele-specific PCR; SARS-CoV-2; Variant assay; Variants of concerns; Whole genome sequencing,"Tracking severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) variants through whole genome sequencing (WGS) is vital for effective infection control and prevention (IPC) measures, but can be time-consuming and resource-heavy. We describe an in-house validation of an allele-specific polymerase chain reaction (ASP) variant assay to detect variants of concern (VOC). ASP sensitivity for detecting Delta, Alpha and Beta was 99.45 %, 100 %, and 66.67 %, respectively, compared with WGS. Specificity was 100 % in detecting all three VOC. ASP generated results 1.3 days faster compared with WGS. These findings suggest using variant assays such as ASP may enhance epidemiological surveillance and IPC measures.",title_abstract,unlikely_candidate,3,"Although it is clearly about SARS-CoV-2 variants and provides original empirical diagnostic validation data, it does not report or estimate serial interval or generation time (or related transmission timing parameters). Therefore it is unlikely to address the review’s key outcome.",4,"Explicitly about SARS-CoV-2 and specific variants of concern (Delta, Alpha, Beta) detected via allele-specific PCR.",2,"Discusses surveillance/testing for SARS-CoV-2 variants, but the abstract does not explicitly state the specimens are from human cases (though implied in clinical/IPC context).",2,"Appears to be a real-world in-house validation (implying a specific setting), but no geographic location is provided in the abstract.",4,Reports an in-house validation with empirical sensitivity/specificity and turnaround time comparisons vs whole genome sequencing.,0,"No mention of serial interval, generation time, or any estimation of transmission timing parameters; focus is on diagnostic/assay performance for variant detection.",,
35261995,,Vaccination-infection interval determines cross-neutralization potency to SARS-CoV-2 Omicron after breakthrough infection by other variants.,"Miyamoto S, Arashiro T, Adachi Y, Moriyama S, Kinoshita H, Kanno T, Saito S, Katano H, Iida S, Ainai A, Kotaki R, Yamada S, Kuroda Y, Yamamoto T, Ishijima K, Park ES, Inoue Y, Kaku Y, Tobiume M, Iwata-Yoshikawa N, Shiwa-Sudo N, Tokunaga K, Ozono S, Hemmi T, Ueno A, Kishida N, Watanabe S, Nojima K, Seki Y, Mizukami T, Hasegawa H, Ebihara H, Maeda K, Fukushi S, Takahashi Y, Suzuki T.",Med. 2022 Apr 8;3(4):249-261.e4. doi: 10.1016/j.medj.2022.02.006. Epub 2022 Mar 4.,Miyamoto,"Med (New York, N.Y.)",2022,2022/3/9,PMC8894731,,10.1016/j.medj.2022.02.006,BNT162b2 mRNA vaccine; COVID-19 vaccine; Omicron variant; SARS-CoV-2; breakthrough infection; neutralizing antibody,"BACKGROUND: The immune profile against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has dramatically diversified due to a complex combination of exposure to vaccines and infection by various lineages/variants, likely generating a heterogeneity in protective immunity in a given population. To further complicate this, the Omicron variant, with numerous spike mutations, has emerged. These circumstances have created the need to assess the potential of immune evasion by Omicron in individuals with various immune histories. METHODS: The neutralization susceptibility of the variants, including Omicron and their ancestors, was comparably assessed using a panel of plasma/serum derived from individuals with divergent immune histories. Blood samples were collected from either mRNA vaccinees or from those who suffered from breakthrough infections of Alpha/Delta with multiple time intervals following vaccination. FINDINGS: Omicron was highly resistant to neutralization in fully vaccinated individuals without a history of breakthrough infections. In contrast, robust cross-neutralization against Omicron was induced in vaccinees that experienced breakthrough infections. The time interval between vaccination and infection, rather than the variant types of infection, was significantly correlated with the magnitude and potency of Omicron-neutralizing antibodies. CONCLUSIONS: Immune histories with breakthrough infections can overcome the resistance to infection by Omicron, with the vaccination-infection interval being the key determinant of the magnitude and breadth of neutralization. The diverse exposure history in each individual warrants a tailored and cautious approach to understanding population immunity against Omicron and future variants. FUNDING: This study was supported by grants from the Japan Agency for Medical Research and Development (AMED).",title_abstract,unlikely_candidate,3,"Although it is clearly about SARS-CoV-2 variants (including Omicron and Delta) and reports original human data, the outcomes are neutralizing antibody responses and immune history effects. There is no indication that serial interval or generation time (or related transmission interval metrics) are estimated or reported.",4,"Explicitly studies SARS-CoV-2/COVID-19 and variants including Omicron, Alpha, and Delta with spike mutations and immune evasion.",4,Uses human plasma/serum from vaccinated individuals and those with breakthrough infections (Alpha/Delta).,3,Study appears conducted in Japan (AMED funding) with real-world participant sampling; specific setting details are limited but not restrictive for the question.,4,Reports original empirical laboratory measurements (neutralization assays) using collected human samples with defined immune histories and intervals.,0,"Focuses on immunology/neutralization and vaccination-infection interval; no mention of serial interval, generation time, or transmission interval estimation.",,
36206606,,SARS-CoV-2 and influenza co-infection: A cross-sectional study in central Missouri during the 2021-2022 influenza season.,"Tang CY, Boftsi M, Staudt L, McElroy JA, Li T, Duong S, Ohler A, Ritter D, Hammer R, Hang J, Wan XF.",Virology. 2022 Nov;576:105-110. doi: 10.1016/j.virol.2022.09.009. Epub 2022 Sep 30.,Tang,Virology,2022,2022/10/7,PMC9523501,,10.1016/j.virol.2022.09.009,Co-infection; H3N2; Influenza a virus; Influenza vaccination; SARS-CoV-2; SARS-CoV-2 variant,"As SARS-CoV-2 and influenza viruses co-circulate, co-infections with these viruses generate an increasing concern to public health. To evaluate the prevalence and clinical impacts of SARS-CoV-2 and influenza A virus co-infections during the 2021-2022 influenza season, SARS-CoV-2-positive samples from 462 individuals were collected from October 2021 to January 2022. Of these individuals, 152 tested positive for influenza, and the monthly co-infection rate ranged from 7.1% to 48%. Compared to the Delta variant, individuals infected with Omicron were less likely to be co-infected and hospitalized, and individuals who received influenza vaccines were less likely to become co-infected. Three individuals had two samples collected on different dates, and all three developed a co-infection after their initial SARS-CoV-2 infection. This study demonstrates high prevalence of co-infections in central Missouri during the 2021-2022 influenza season, differences in co-infection prevalence between the Delta and the Omicron waves, and the importance of influenza vaccinations against co-infections.",title_abstract,unlikely_candidate,3,"Although it involves SARS-CoV-2 variants (Delta vs Omicron) in humans with original data, the focus is co-infection prevalence and clinical impacts rather than transmission timing. The abstract provides no indication that serial interval or generation time were estimated or would be available in the full text.",4,"Explicitly studies SARS-CoV-2 and contrasts Delta vs Omicron, with keywords/abstract referencing SARS-CoV-2 variants.",4,Human participants with SARS-CoV-2-positive samples (462 individuals) are explicitly described.,4,Study conducted in central Missouri (specific real-world geographic setting) during the 2021–2022 influenza season.,4,Cross-sectional study reporting empirical testing data from 462 SARS-CoV-2-positive individuals with influenza co-testing and variant-period comparisons (Delta vs Omicron).,0,"No mention of serial interval, generation time, or related transmission-timing estimation; outcomes are co-infection rates and hospitalization.",,
38111243,,A SARS-CoV-2 Omicron outbreak among crew members on a cruise ship in Germany in early 2022.,"Bühler S, Busch P, Wittkamp P, Alpers K, Doerre A, Plenge-Bönig A, Fornaçon J, Schäfers C, Reichstein A, Grassl B, Hewelt E, Dirksen-Fischer M, Kleine-Kampmann S.",Int Marit Health. 2023;74(4):235-242. doi: 10.5603/imh.96935.,Bühler,International maritime health,2023,2023/12/19,,,10.5603/imh.96935,Omicron; SARS-CoV-2; crew; cruise ship; outbreak,"BACKGROUND: Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) outbreaks on cruise ships have rarely been investigated. In early 2022, we were informed about a SARS-CoV-2 outbreak on a cruise ship calling Port of Hamburg after 10 infections among crew members were detected. We conducted an outbreak investigation in collaboration between ship owners, the ship physician and Hamburg's Institute for Hygiene and Environment, to identify risk factors and to achieve containment. The aim was to identify risk factors for SARS-CoV-2 infection and SARS-CoV-2 variants in a cohort of 165 crew members. MATERIALS AND METHODS: For this purpose, we collected data on age, sex, nationality, boarding-time, cabin use (single/shared), work place, and vaccination status of the study participants. Cases were defined as individuals who tested SARS-CoV-2 positive at least once in daily screenings during the outbreak period (10 days) by polymerase chain reaction or antigen test. We investigated risk factors for infection by descriptive, univariable and multivariable analysis. We performed whole genome sequencing to identify SARS-CoV-2 variants. RESULTS: We verified 103 SARS-CoV-2 positive cases (attack rate [AR] 62.4%); 39/41 sequenced samples were BA.2.3 Omicron subtype, one BA.1 and one BA.1.1. Among boostered crew members, AR was 38% vs. 65% among those vaccinated once or twice. Among those who stayed < 30 days on board, AR was 31% vs. 72% among those staying on board longer. Among Europeans, the AR was 53% vs. 71% in non- -Europeans. Adjusting for age and sex, cases were more likely to have received no booster vaccine (odds ratio [OR]: 2.66, 95% confidence interval [CI]: 0.99-7.13), to have spent more time on board (≥ 30 days, OR: 6.36, 95% CI: 2.81-14.40 vs. < 30 days) and to have a non-European nationality (OR: 2.14, 95% CI: 1.08-4.27). The outbreak stopped shortly after offboard isolation of cases. CONCLUSIONS: This investigation confirms the importance of a booster vaccine against COVID-19. Longer stays onboard could facilitate social mixing. Further studies could investigate the impact of social, cultural/ behavioural patterns and public health access on the infection risk. Physical distancing together with screening and isolation can contain SARS-CoV-2 outbreaks on cruise ships.",title_abstract,unlikely_candidate,3,"This is a human outbreak investigation of SARS-CoV-2 on a cruise ship with sequencing-confirmed Omicron sublineages (mainly BA.2.3) and reports original empirical findings on attack rates and risk factors. However, the abstract does not mention estimating serial interval or generation time, focusing instead on risk factors, vaccination status, and containment measures.",4,Explicitly about SARS-CoV-2/COVID-19 and identifies Omicron subtypes via whole genome sequencing.,4,Cohort of 165 cruise ship crew members (humans) with infection status assessed via PCR/antigen screening.,3,"Conducted on a cruise ship calling the Port of Hamburg, Germany (real-world setting with clear geographic context).",4,"Reports original outbreak investigation data, including screening results, sequencing, and multivariable risk factor analysis.",1,"Outbreak investigation reports attack rate and risk factors but does not mention serial interval, generation time, or related transmission timing metrics.",,
36511336,,"Transmission dynamics of SARS-CoV-2 Omicron variant infections in Hangzhou, Zhejiang, China, January-February 2022.","Xin H, Wang Z, Feng S, Sun Z, Yu L, Cowling BJ, Kong Q, Wu P.",Int J Infect Dis. 2023 Jan;126:132-135. doi: 10.1016/j.ijid.2022.10.033. Epub 2022 Oct 28.,Xin,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,2023,2022/12/13,PMC9616478,,10.1016/j.ijid.2022.10.033,China; Omicron; SARS-CoV-2; Transmission,"OBJECTIVES: We aimed to explore the transmission dynamics of the Omicron BA.1.1 variant in an outbreak in China. METHODS: We constructed 113 transmission pairs based on the time of exposure and symptom onset for identified infectors and infectees, using the epidemiological data collected during an outbreak in Hangzhou, Zhejiang province, China, between January and February 2022. The key epidemiological parameters were estimated. RESULTS: The mean estimates of the incubation period and latent period distributions were 3.8 days (95% credible interval: 3.5, 4.1) and 3.1 days (2.8, 3.5), respectively. The overall transmission risk peaked at symptom onset, and we estimated that 33.6% (24.8, 42.5) of transmission occurred before symptom onset. The forward generation time decreased from 5.2 days (4.7, 5.7) at the start of the outbreak to 2.2 days (2.0, 2.5) by the end. Allowing this variation over time in the generation time distribution, we estimated that the reproduction number dropped rapidly from 9.5 (3.5, 18.4) to 0.8 (0.3, 1.5) over the outbreak. CONCLUSION: Shorter incubation period and latent period were estimated for the Omicron BA.1.1 variant. Stringent public health measures prevented a large epidemic by reducing transmission, as indicated by the shortened generation time.",title_abstract,strong_candidate,4,"This is a human outbreak investigation explicitly focused on SARS-CoV-2 Omicron BA.1.1 transmission dynamics, estimating generation time (time-varying) and related parameters from empirically constructed transmission pairs. It does not explicitly mention serial interval, but generation time is directly estimated and central to the analysis.",4,Explicitly studies SARS-CoV-2 Omicron BA.1.1 variant transmission dynamics (variant/lineage specified).,4,Outbreak investigation based on human cases with identified infectors/infectees and symptom onset/exposure times.,4,"Conducted in a real-world setting: Hangzhou, Zhejiang, China, during Jan–Feb 2022.",4,Uses epidemiological data from a defined Omicron BA.1.1 outbreak in Hangzhou (Jan–Feb 2022) and constructs 113 infector–infectee transmission pairs to estimate parameters.,4,"Explicitly estimates forward generation time (including change over outbreak), pre-symptomatic transmission fraction, and reproduction number; generation time is a primary reported outcome.",,
