model	model_slug	experiment	profile	topic	gt	pool	tp	fp	fn	tn	recall	precision	workload_reduction	nns	f1	mcc	wss95	recall_value	precision_value	workload_reduction_value	nns_value	f1_value	mcc_value	wss95_value	status	note	gt_file	screened_file
gpt-5.4_current	gpt-5.4_current	root	P15	reproduction_number	25	709	25	384	0	300	100.0% [86.7%, 100.0%]	6.1% [4.2%, 8.9%]	42.3% [38.8%, 46.0%]	16.36 [11.74, 25.62]	11.5%	0.164	37.3%	1.0	0.061125	0.423131	16.36	0.115207	0.163735	0.373131	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p15/project_15_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p15/project_15_screened.csv
gpt-5.4_current	gpt-5.4_current	root	P16	reproduction_number	32	575	28	220	4	323	87.5% [71.9%, 95.0%]	11.3% [7.9%, 15.8%]	56.9% [52.7%, 60.9%]	8.86 [6.55, 13.47]	20.0%	0.217	51.9%	0.875	0.112903	0.568696	8.857143	0.2	0.217485	0.518696	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p16/project_16_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p16/project_16_screened.csv
gpt-5.4_current	gpt-5.4_current	root	P17	reproduction_number	15	209	12	87	3	107	80.0% [54.8%, 93.0%]	12.1% [7.1%, 20.0%]	52.6% [45.9%, 59.3%]	8.25 [5.30, 16.50]	21.1%	0.182	47.6%	0.8	0.121212	0.526316	8.25	0.210526	0.181725	0.476316	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p17/project_17_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p17/project_17_screened.csv
google/gemini-2.5-flash	google_gemini-2.5-flash	cmp_covid13_google_gemini-2.5-flash_5d	P4																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p4/project_4_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p4/experiments/cmp_covid13_google_gemini-2.5-flash_5d/project_4_screened.csv
google/gemini-2.5-flash	google_gemini-2.5-flash	cmp_covid13_google_gemini-2.5-flash_5d	P5																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p5/project_5_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p5/experiments/cmp_covid13_google_gemini-2.5-flash_5d/project_5_screened.csv
google/gemini-2.5-flash	google_gemini-2.5-flash	cmp_covid13_google_gemini-2.5-flash_5d	P6																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p6/project_6_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p6/experiments/cmp_covid13_google_gemini-2.5-flash_5d/project_6_screened.csv
google/gemini-2.5-flash	google_gemini-2.5-flash	cmp_covid13_google_gemini-2.5-flash_5d	P7																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p7/project_7_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p7/experiments/cmp_covid13_google_gemini-2.5-flash_5d/project_7_screened.csv
google/gemini-2.5-flash	google_gemini-2.5-flash	cmp_covid13_google_gemini-2.5-flash_5d	P8																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p8/project_8_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p8/experiments/cmp_covid13_google_gemini-2.5-flash_5d/project_8_screened.csv
google/gemini-2.5-flash	google_gemini-2.5-flash	cmp_covid13_google_gemini-2.5-flash_5d	P10																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p10/project_10_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p10/experiments/cmp_covid13_google_gemini-2.5-flash_5d/project_10_screened.csv
google/gemini-2.5-flash	google_gemini-2.5-flash	cmp_covid13_google_gemini-2.5-flash_5d	P11																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p11/project_11_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p11/experiments/cmp_covid13_google_gemini-2.5-flash_5d/project_11_screened.csv
google/gemini-2.5-flash	google_gemini-2.5-flash	cmp_covid13_google_gemini-2.5-flash_5d	P12																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p12/project_12_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p12/experiments/cmp_covid13_google_gemini-2.5-flash_5d/project_12_screened.csv
google/gemini-2.5-flash	google_gemini-2.5-flash	cmp_covid13_google_gemini-2.5-flash_5d	P13																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p13/project_13_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p13/experiments/cmp_covid13_google_gemini-2.5-flash_5d/project_13_screened.csv
google/gemini-2.5-flash	google_gemini-2.5-flash	cmp_covid13_google_gemini-2.5-flash_5d	P14																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p14/project_14_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p14/experiments/cmp_covid13_google_gemini-2.5-flash_5d/project_14_screened.csv
google/gemini-2.5-flash	google_gemini-2.5-flash	cmp_covid13_google_gemini-2.5-flash_5d	P15																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p15/project_15_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p15/experiments/cmp_covid13_google_gemini-2.5-flash_5d/project_15_screened.csv
google/gemini-2.5-flash	google_gemini-2.5-flash	cmp_covid13_google_gemini-2.5-flash_5d	P16																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p16/project_16_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p16/experiments/cmp_covid13_google_gemini-2.5-flash_5d/project_16_screened.csv
google/gemini-2.5-flash	google_gemini-2.5-flash	cmp_covid13_google_gemini-2.5-flash_5d	P17																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p17/project_17_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p17/experiments/cmp_covid13_google_gemini-2.5-flash_5d/project_17_screened.csv
openai/gpt-4.1-nano	openai_gpt-4.1-nano	cmp_covid13_openai_gpt-4.1-nano_5d	P4																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p4/project_4_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p4/experiments/cmp_covid13_openai_gpt-4.1-nano_5d/project_4_screened.csv
openai/gpt-4.1-nano	openai_gpt-4.1-nano	cmp_covid13_openai_gpt-4.1-nano_5d	P5																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p5/project_5_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p5/experiments/cmp_covid13_openai_gpt-4.1-nano_5d/project_5_screened.csv
openai/gpt-4.1-nano	openai_gpt-4.1-nano	cmp_covid13_openai_gpt-4.1-nano_5d	P6																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p6/project_6_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p6/experiments/cmp_covid13_openai_gpt-4.1-nano_5d/project_6_screened.csv
openai/gpt-4.1-nano	openai_gpt-4.1-nano	cmp_covid13_openai_gpt-4.1-nano_5d	P7																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p7/project_7_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p7/experiments/cmp_covid13_openai_gpt-4.1-nano_5d/project_7_screened.csv
openai/gpt-4.1-nano	openai_gpt-4.1-nano	cmp_covid13_openai_gpt-4.1-nano_5d	P8																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p8/project_8_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p8/experiments/cmp_covid13_openai_gpt-4.1-nano_5d/project_8_screened.csv
openai/gpt-4.1-nano	openai_gpt-4.1-nano	cmp_covid13_openai_gpt-4.1-nano_5d	P10																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p10/project_10_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p10/experiments/cmp_covid13_openai_gpt-4.1-nano_5d/project_10_screened.csv
openai/gpt-4.1-nano	openai_gpt-4.1-nano	cmp_covid13_openai_gpt-4.1-nano_5d	P11																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p11/project_11_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p11/experiments/cmp_covid13_openai_gpt-4.1-nano_5d/project_11_screened.csv
openai/gpt-4.1-nano	openai_gpt-4.1-nano	cmp_covid13_openai_gpt-4.1-nano_5d	P12																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p12/project_12_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p12/experiments/cmp_covid13_openai_gpt-4.1-nano_5d/project_12_screened.csv
openai/gpt-4.1-nano	openai_gpt-4.1-nano	cmp_covid13_openai_gpt-4.1-nano_5d	P13																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p13/project_13_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p13/experiments/cmp_covid13_openai_gpt-4.1-nano_5d/project_13_screened.csv
openai/gpt-4.1-nano	openai_gpt-4.1-nano	cmp_covid13_openai_gpt-4.1-nano_5d	P14																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p14/project_14_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p14/experiments/cmp_covid13_openai_gpt-4.1-nano_5d/project_14_screened.csv
openai/gpt-4.1-nano	openai_gpt-4.1-nano	cmp_covid13_openai_gpt-4.1-nano_5d	P15																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p15/project_15_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p15/experiments/cmp_covid13_openai_gpt-4.1-nano_5d/project_15_screened.csv
openai/gpt-4.1-nano	openai_gpt-4.1-nano	cmp_covid13_openai_gpt-4.1-nano_5d	P16																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p16/project_16_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p16/experiments/cmp_covid13_openai_gpt-4.1-nano_5d/project_16_screened.csv
openai/gpt-4.1-nano	openai_gpt-4.1-nano	cmp_covid13_openai_gpt-4.1-nano_5d	P17																						run_failed	exit=1	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p17/project_17_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p17/experiments/cmp_covid13_openai_gpt-4.1-nano_5d/project_17_screened.csv
