model	model_slug	experiment	profile	topic	gt	pool	tp	fp	fn	tn	recall	precision	workload_reduction	nns	f1	mcc	wss95	recall_value	precision_value	workload_reduction_value	nns_value	f1_value	mcc_value	wss95_value	status	note	gt_file	screened_file
gpt-5.4_current	gpt-5.4_current	root	P15	reproduction_number	25	709	25	384	0	300	100.0% [86.7%, 100.0%]	6.1% [4.2%, 8.9%]	42.3% [38.8%, 46.0%]	16.36 [11.74, 25.62]	11.5%	0.164	37.3%	1.0	0.061125	0.423131	16.36	0.115207	0.163735	0.373131	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p15/project_15_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p15/project_15_screened.csv
gpt-5.4_current	gpt-5.4_current	root	P16	reproduction_number	32	575	28	220	4	323	87.5% [71.9%, 95.0%]	11.3% [7.9%, 15.8%]	56.9% [52.7%, 60.9%]	8.86 [6.55, 13.47]	20.0%	0.217	51.9%	0.875	0.112903	0.568696	8.857143	0.2	0.217485	0.518696	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p16/project_16_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p16/project_16_screened.csv
gpt-5.4_current	gpt-5.4_current	root	P17	reproduction_number	15	209	12	87	3	107	80.0% [54.8%, 93.0%]	12.1% [7.1%, 20.0%]	52.6% [45.9%, 59.3%]	8.25 [5.30, 16.50]	21.1%	0.182	47.6%	0.8	0.121212	0.526316	8.25	0.210526	0.181725	0.476316	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p17/project_17_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p17/project_17_screened.csv
openai/gpt-4.1	openai_gpt-4.1	cmp_covid13_openai_gpt-4.1_5d_nofulltext	P4	fatality	56	345	55	163	1	126	98.2% [90.6%, 99.7%]	25.2% [19.9%, 31.4%]	36.8% [31.9%, 42.0%]	3.96 [3.22, 5.07]	40.1%	0.320	31.8%	0.982143	0.252294	0.368116	3.963636	0.40146	0.319686	0.318116	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p4/project_4_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p4/experiments/cmp_covid13_openai_gpt-4.1_5d_nofulltext/project_4_screened.csv
openai/gpt-4.1	openai_gpt-4.1	cmp_covid13_openai_gpt-4.1_5d_nofulltext	P5	fatality	48	1882	48	285	0	1549	100.0% [92.6%, 100.0%]	14.4% [11.0%, 18.6%]	82.3% [80.6%, 84.0%]	6.94 [5.48, 9.31]	25.2%	0.349	77.3%	1.0	0.144144	0.823061	6.9375	0.251969	0.348919	0.773061	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p5/project_5_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p5/experiments/cmp_covid13_openai_gpt-4.1_5d_nofulltext/project_5_screened.csv
openai/gpt-4.1	openai_gpt-4.1	cmp_covid13_openai_gpt-4.1_5d_nofulltext	P6	fatality	39	2253	33	849	6	1367	84.6% [70.3%, 92.8%]	3.7% [2.7%, 5.2%]	60.9% [58.9%, 62.9%]	26.73 [19.82, 39.65]	7.2%	0.124	55.9%	0.846154	0.037415	0.60941	26.727273	0.071661	0.123697	0.55941	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p6/project_6_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p6/experiments/cmp_covid13_openai_gpt-4.1_5d_nofulltext/project_6_screened.csv
openai/gpt-4.1	openai_gpt-4.1	cmp_covid13_openai_gpt-4.1_5d_nofulltext	P7	reproduction_number	122	574	87	45	35	407	71.3% [62.7%, 78.6%]	65.9% [57.5%, 73.4%]	77.0% [73.5%, 80.3%]	1.52 [1.35, 1.73]	68.5%	0.596	72.0%	0.713115	0.659091	0.770035	1.517241	0.685039	0.596494	0.720035	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p7/project_7_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p7/experiments/cmp_covid13_openai_gpt-4.1_5d_nofulltext/project_7_screened.csv
openai/gpt-4.1	openai_gpt-4.1	cmp_covid13_openai_gpt-4.1_5d_nofulltext	P8	reproduction_number	44	575	37	185	7	346	84.1% [70.6%, 92.1%]	16.7% [12.3%, 22.1%]	61.4% [57.4%, 65.4%]	6.00 [4.65, 8.40]	27.8%	0.269	56.4%	0.840909	0.166667	0.613913	6.0	0.278195	0.268921	0.563913	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p8/project_8_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p8/experiments/cmp_covid13_openai_gpt-4.1_5d_nofulltext/project_8_screened.csv
openai/gpt-4.1	openai_gpt-4.1	cmp_covid13_openai_gpt-4.1_5d_nofulltext	P10	serial_interval	28	599	28	40	0	531	100.0% [87.9%, 100.0%]	41.2% [30.3%, 53.0%]	88.6% [86.1%, 91.2%]	2.43 [1.88, 3.38]	58.3%	0.619	83.6%	1.0	0.411765	0.886477	2.428571	0.583333	0.618805	0.836477	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p10/project_10_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p10/experiments/cmp_covid13_openai_gpt-4.1_5d_nofulltext/project_10_screened.csv
openai/gpt-4.1	openai_gpt-4.1	cmp_covid13_openai_gpt-4.1_5d_nofulltext	P11	serial_interval	76	841	75	182	1	583	98.7% [92.9%, 99.8%]	29.2% [24.0%, 35.0%]	69.4% [66.3%, 72.5%]	3.43 [2.89, 4.23]	45.0%	0.466	64.4%	0.986842	0.291829	0.694411	3.426667	0.45045	0.466131	0.644411	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p11/project_11_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p11/experiments/cmp_covid13_openai_gpt-4.1_5d_nofulltext/project_11_screened.csv
openai/gpt-4.1	openai_gpt-4.1	cmp_covid13_openai_gpt-4.1_5d_nofulltext	P12	serial_interval	19	145	18	50	1	76	94.7% [75.4%, 99.1%]	26.5% [17.4%, 38.0%]	53.1% [44.8%, 61.4%]	3.78 [2.69, 6.27]	41.4%	0.372	48.1%	0.947368	0.264706	0.531034	3.777778	0.413793	0.372266	0.481034	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p12/project_12_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p12/experiments/cmp_covid13_openai_gpt-4.1_5d_nofulltext/project_12_screened.csv
openai/gpt-4.1	openai_gpt-4.1	cmp_covid13_openai_gpt-4.1_5d_nofulltext	P13	serial_interval	51	111	46	39	5	21	90.2% [79.0%, 95.7%]	54.1% [43.6%, 64.3%]	23.4% [16.2%, 31.5%]	1.85 [1.55, 2.28]	67.6%	0.296	18.4%	0.901961	0.541176	0.234234	1.847826	0.676471	0.296481	0.184234	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p13/project_13_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p13/experiments/cmp_covid13_openai_gpt-4.1_5d_nofulltext/project_13_screened.csv
openai/gpt-4.1	openai_gpt-4.1	cmp_covid13_openai_gpt-4.1_5d_nofulltext	P14	serial_interval	9	94	9	54	0	31	100.0% [70.1%, 100.0%]	14.3% [7.7%, 25.0%]	33.0% [23.4%, 42.6%]	7.00 [4.33, 15.75]	25.0%	0.228	28.0%	1.0	0.142857	0.329787	7.0	0.25	0.228256	0.279787	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p14/project_14_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p14/experiments/cmp_covid13_openai_gpt-4.1_5d_nofulltext/project_14_screened.csv
openai/gpt-4.1	openai_gpt-4.1	cmp_covid13_openai_gpt-4.1_5d_nofulltext	P15	reproduction_number	25	709	21	302	4	382	84.0% [65.3%, 93.6%]	6.5% [4.3%, 9.7%]	54.4% [50.9%, 58.0%]	15.38 [10.69, 25.46]	12.1%	0.148	49.4%	0.84	0.065015	0.544429	15.380952	0.12069	0.147574	0.494429	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p15/project_15_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p15/experiments/cmp_covid13_openai_gpt-4.1_5d_nofulltext/project_15_screened.csv
openai/gpt-4.1	openai_gpt-4.1	cmp_covid13_openai_gpt-4.1_5d_nofulltext	P16	reproduction_number	32	575	26	185	6	358	81.2% [64.7%, 91.1%]	12.3% [8.5%, 17.4%]	63.3% [59.5%, 67.3%]	8.12 [5.94, 12.44]	21.4%	0.224	58.3%	0.8125	0.123223	0.633043	8.115385	0.213992	0.224409	0.583043	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p16/project_16_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p16/experiments/cmp_covid13_openai_gpt-4.1_5d_nofulltext/project_16_screened.csv
openai/gpt-4.1	openai_gpt-4.1	cmp_covid13_openai_gpt-4.1_5d_nofulltext	P17	reproduction_number	15	209	9	73	6	121	60.0% [35.7%, 80.2%]	11.0% [5.9%, 19.6%]	60.8% [54.1%, 67.5%]	9.11 [5.57, 21.25]	18.6%	0.118	55.8%	0.6	0.109756	0.607656	9.111111	0.185567	0.118257	0.557656	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p17/project_17_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p17/experiments/cmp_covid13_openai_gpt-4.1_5d_nofulltext/project_17_screened.csv
