PMID,DOI,Title,Publication Year,llm_suggest,overall_score,is_ground_truth,screening_stage,fulltext_status
33088292,10.6339/JDS.202007_18(3).0019,Meta-analysis of several epidemic characteristics of COVID-19.,2020,possible_candidate,3,,title_abstract,
32511616,10.1101/2020.04.23.20075796,COVID-19 serial interval estimates based on confirmed cases in public reports from 86 Chinese cities.,2020,strong_candidate,4,,title_abstract,
32511456,10.1101/2020.03.09.20033514,The time scale of asymptomatic transmission affects estimates of epidemic potential in the COVID-19 outbreak.,2020,possible_candidate,3,,title_abstract,
32322691,10.12688/wellcomeopenres.15718.1,The transmissibility of novel Coronavirus in the early stages of the 2019-20 outbreak in Wuhan: Exploring initial point-source exposure sizes and durations using scenario analysis.,2020,possible_candidate,3,,title_abstract,
33315980,10.34171/mjiri.34.95,Estimation of the basic reproduction number (𝑅0) of the COVID-19 epidemic in Iran.,2020,possible_candidate,3,,title_abstract,
32689956,10.1186/s12879-020-05251-9,"Basic epidemiological parameter values from data of real-world in mega-cities: the characteristics of COVID-19 in Beijing, China.",2020,strong_candidate,4,✓,title_abstract,
32685697,10.12688/wellcomeopenres.15788.1,The contribution of pre-symptomatic infection to the transmission dynamics of COVID-2019.,2020,strong_candidate,4,,title_abstract,
32842292,10.3760/cma.j.cn112150-20200326-00446,[Analysis on the cluster epidemic of coronavirus disease 2019 in Guangdong Province].,2020,strong_candidate,4,,title_abstract,
33075950,10.1103/PhysRevE.102.032136,Maximum entropy method for estimating the reproduction number: An investigation for COVID-19 in China and the United States.,2020,strong_candidate,4,,title_abstract,
32511440,10.1101/2020.03.05.20031088,Comparative Impact of Individual Quarantine vs. Active Monitoring of Contacts for the Mitigation of COVID-19: a modelling study.,2020,possible_candidate,4,,title_abstract,
32710618,10.1093/jtm/taaa115,Serial interval distribution of SARS-CoV-2 infection in Brazil.,2021,strong_candidate,4,✓,full_text,screened
32392331,10.1093/cid/ciaa557,"Household Transmission of SARS-CoV-2, Zhuhai, China, 2020.",2020,strong_candidate,4,✓,title_abstract,
32556265,10.1093/cid/ciaa790,"Reconstruction of Transmission Pairs for Novel Coronavirus Disease 2019 (COVID-19) in Mainland China: Estimation of Superspreading Events, Serial Interval, and Hazard of Infection.",2020,strong_candidate,4,✓,title_abstract,
34814093,10.1016/j.epidem.2021.100528,"The early phase of the COVID-19 epidemic in Lombardy, Italy.",2021,strong_candidate,4,✓,title_abstract,
32035431,10.4178/epih.e2020007,Epidemiologic characteristics of early cases with 2019 novel coronavirus (2019-nCoV) disease in Korea.,2020,possible_candidate,3,✓,title_abstract,
33750783,10.1038/s41467-021-21710-6,"Infectivity, susceptibility, and risk factors associated with SARS-CoV-2 transmission under intensive contact tracing in Hunan, China.",2021,strong_candidate,4,✓,title_abstract,
32796323,10.1097/JCMA.0000000000000411,Analysis of community-acquired COVID-19 cases in Taiwan.,2020,strong_candidate,4,✓,title_abstract,
32397699,10.3760/cma.j.cn112338-20200330-00466,[Study on transmission dynamic of 15 clusters of COVID-2019 cases in Ningbo].,2020,strong_candidate,4,✓,title_abstract,
32738143,10.1093/cid/ciaa1130,The First 100 Days of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Control in Vietnam.,2021,strong_candidate,4,✓,title_abstract,
33044319,10.1097/EDE.0000000000001257,Effectiveness of Containment Measures Against COVID-19 in Singapore: Implications for Other National Containment Efforts.,2021,strong_candidate,4,✓,title_abstract,
