disease,topic,error_kind,primary_type,count,denominator,percent
mpox,reproduction_number,FP,weak_or_indirect_target_parameter,4,17,0.235294
mpox,reproduction_number,FP,borderline_possible_over_inclusion,3,17,0.176471
mpox,reproduction_number,FP,broad_topic_over_inclusion,2,17,0.117647
mpox,serial_interval,FP,weak_or_indirect_target_parameter,57,130,0.438462
mpox,serial_interval,FP,sparse_metadata_over_inclusion,22,130,0.169231
mpox,serial_interval,FP,plausibly_relevant_not_in_sr_gt,21,130,0.161538
mpox,serial_interval,FP,wrong_epidemiological_parameter,9,130,0.069231
mpox,serial_interval,FP,weak_original_evidence,8,130,0.061538
mpox,serial_interval,FP,broad_topic_over_inclusion,7,130,0.053846
mpox,serial_interval,FP,borderline_possible_over_inclusion,4,130,0.030769
mpox,serial_interval,FP,review_signal_overridden_by_model,2,130,0.015385
mpox,serial_interval,FN,target_parameter_not_detected,1,2,0.500000
mpox,serial_interval,FN,possible_gt_non_original_or_review,1,2,0.500000
overall,all,FP,plausibly_relevant_not_in_sr_gt,1038,2946,0.352342
overall,all,FP,weak_or_indirect_target_parameter,740,2946,0.251188
overall,all,FP,sparse_metadata_over_inclusion,427,2946,0.144942
overall,all,FP,broad_topic_over_inclusion,398,2946,0.135098
overall,all,FP,borderline_possible_over_inclusion,164,2946,0.055669
overall,all,FP,weak_original_evidence,89,2946,0.030210
overall,all,FP,review_signal_overridden_by_model,70,2946,0.023761
overall,all,FP,wrong_epidemiological_parameter,20,2946,0.006789
overall,all,FN,target_parameter_not_detected,29,34,0.852941
overall,all,FN,possible_gt_non_original_or_review,4,34,0.117647
overall,all,FN,insufficient_title_abstract_evidence,1,34,0.029412
