disease,status,ground_truth_count,screened_count,tp,fp,fn,tn,strong_count,possible_count,unlikely_count,missing_count,error_count,recall,precision,specificity,npv,f1,accuracy,workload_reduction,nns,mcc,wss95,profile,topic,project,model,experiment,raw_file,ground_truth_file,screened_file
covid19,ok,25,709,24,488,1,196,0,24,1,0,0,0.96,0.046875,0.28655,0.994924,0.089385,0.310296,0.277856,21.333333,0.101516,0.227856,P15,reproduction_number,15,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p15/project_15_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p15/project_15_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p15/experiments/leads_mistral_strict_simple_20260506_185524/project_15_screened.csv
covid19,ok,32,575,32,442,0,101,0,32,0,0,0,1.0,0.067511,0.186004,1.0,0.126482,0.231304,0.175652,14.8125,0.112059,0.125652,P16,reproduction_number,16,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p16/project_16_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p16/project_16_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p16/experiments/leads_mistral_strict_simple_20260506_185524/project_16_screened.csv
covid19,ok,15,209,15,160,0,34,0,15,0,0,0,1.0,0.085714,0.175258,1.0,0.157895,0.23445,0.162679,11.666667,0.122565,0.112679,P17,reproduction_number,17,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p17/project_17_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p17/project_17_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p17/experiments/leads_mistral_strict_simple_20260506_185524/project_17_screened.csv
mpox,ok,17,331,2,23,15,291,0,2,15,0,0,0.117647,0.08,0.926752,0.95098,0.095238,0.885196,0.924471,12.5,0.037088,0.874471,MP4,fatality,4,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p4/project_4_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p4/project_4_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p4/experiments/leads_mistral_strict_simple_20260506_185524/project_4_screened.csv
mpox,ok,8,85,4,34,4,43,0,4,4,0,0,0.5,0.105263,0.558442,0.914894,0.173913,0.552941,0.552941,9.5,0.034322,0.502941,MP5,serial_interval,5,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p5/project_5_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p5/project_5_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p5/experiments/leads_mistral_strict_simple_20260506_185524/project_5_screened.csv
mpox,ok,5,72,4,43,1,24,0,4,1,0,0,0.8,0.085106,0.358209,0.96,0.153846,0.388889,0.347222,11.75,0.084476,0.297222,MP6,serial_interval,6,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p6/project_6_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p6/project_6_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p6/experiments/leads_mistral_strict_simple_20260506_185524/project_6_screened.csv
mpox,ok,33,1324,14,304,19,987,0,14,19,0,0,0.424242,0.044025,0.764524,0.981113,0.079772,0.756042,0.759819,22.714286,0.068886,0.709819,MP7,fatality,7,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p7/project_7_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p7/project_7_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p7/experiments/leads_mistral_strict_simple_20260506_185524/project_7_screened.csv
mpox,ok,20,1947,6,300,14,1627,0,6,14,0,0,0.3,0.019608,0.844318,0.991469,0.03681,0.838726,0.842835,51.0,0.039982,0.792835,MP8,fatality,8,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p8/project_8_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p8/project_8_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p8/experiments/leads_mistral_strict_simple_20260506_185524/project_8_screened.csv
mpox,ok,3,1029,2,182,1,844,0,2,1,0,0,0.666667,0.01087,0.822612,0.998817,0.02139,0.822157,0.821186,92.0,0.068842,0.771186,MP9,reproduction_number,9,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/reproduction_number/ground_truth/p9/project_9_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/reproduction_number/ground_truth/p9/project_9_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/reproduction_number/ground_truth/p9/experiments/leads_mistral_strict_simple_20260506_185524/project_9_screened.csv
mpox,ok,15,166,11,55,4,96,0,11,4,0,0,0.733333,0.166667,0.635762,0.96,0.271605,0.644578,0.60241,6.0,0.216222,0.55241,MP10,serial_interval,10,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p10/project_10_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p10/project_10_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p10/experiments/leads_mistral_strict_simple_20260506_185524/project_10_screened.csv
mpox,ok,5,63,4,34,1,24,0,4,1,0,0,0.8,0.105263,0.413793,0.96,0.186047,0.444444,0.396825,9.5,0.118122,0.346825,MP11,serial_interval,11,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p11/project_11_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p11/project_11_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/serial_interval/ground_truth/p11/experiments/leads_mistral_strict_simple_20260506_185524/project_11_screened.csv
mpox,ok,16,484,2,101,14,367,0,2,14,0,0,0.125,0.019417,0.784188,0.963255,0.033613,0.762397,0.78719,51.5,-0.039668,0.73719,MP12,fatality,12,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p12/project_12_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p12/project_12_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/mpox/fatality/ground_truth/p12/experiments/leads_mistral_strict_simple_20260506_185524/project_12_screened.csv
