PMID,sr_id,sr_name,sr_pmid,gt_title,gt_doi,gt_year,gt_authors,gt_journal,gt_country_region,review_status,note,raw_reference,created_at
35902115,8,5.Health Science Reports - 2023 - Sharif - Molecular epidemiology  transmission and clinical features of 2022‐mpox outbreak,37808926,Clinical features and novel presentations of human monkeypox in a central London centre during the 2022 outbreak: descriptive case series.,10.1136/bmj-2022-072410,2022,"Patel A, Bilinska J, Tam JCH, Da Silva Fontoura D, Mason CY, Daunt A, Snell LB, Murphy J, Potter J, Tuudah C, Sundramoorthi R, Abeywickrema M, Pley C, Naidu V, Nebbia G, Aarons E, Botgros A, Douthwaite ST, van Nispen Tot Pannerden C, Winslow H, Brown A, Chilton D, Nori A",BMJ (Clinical research ed.),,verified,,,2026-04-17T15:35:17.905120+00:00
36874154,8,5.Health Science Reports - 2023 - Sharif - Molecular epidemiology  transmission and clinical features of 2022‐mpox outbreak,37808926,Characteristics of confirmed mpox cases among clinical suspects: A prospective single-centre study in Belgium during the 2022 outbreak.,10.1016/j.nmni.2023.101093,2023,"Hens M, Brosius I, Berens-Riha N, Coppens J, Van Gestel L, Rutgers J, Kenyon C, Soentjens P, van Henten S, Bracke S, Vanbaelen T, Vandenhoven L, Bottieau E, Vercauteren K, Van Esbroeck M, Liesenborghs L, Van Dijck C, ITM mpox study groupc, ITM mpox study group",New microbes and new infections,,verified,,,2026-04-17T15:37:26.624888+00:00
36740013,8,5.Health Science Reports - 2023 - Sharif - Molecular epidemiology  transmission and clinical features of 2022‐mpox outbreak,37808926,Epidemiologic characteristics and clinical features of patients with monkeypox virus infection from a hospital in Peru between July and September 2022.,10.1016/j.ijid.2023.01.045,2023,"Sihuincha Maldonado M, Lucchetti AJ, Paredes Pacheco RA, Martínez Cevallos LC, Zumaeta Saavedra EU, Ponce Zapata LR, Lizarbe Huayta FA, Matos Prado ED",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,,verified,,,2026-04-17T15:37:47.309883+00:00
31618206,8,5.Health Science Reports - 2023 - Sharif - Molecular epidemiology  transmission and clinical features of 2022‐mpox outbreak,37808926,A systematic review of the epidemiology of human monkeypox outbreaks and implications for outbreak strategy.,10.1371/journal.pntd.0007791,2019,"Beer EM, Rao VB",PLoS neglected tropical diseases,,verified,,,2026-04-17T15:38:23.474477+00:00
16288398,8,5.Health Science Reports - 2023 - Sharif - Molecular epidemiology  transmission and clinical features of 2022‐mpox outbreak,37808926,"Clinical characteristics of human monkeypox, and risk factors for severe disease.",10.1086/498115,2005,"Huhn GD, Bauer AM, Yorita K, Graham MB, Sejvar J, Likos A, Damon IK, Reynolds MG, Kuehnert MJ",Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,,verified,,,2026-04-17T15:38:51.963509+00:00
30255836,8,5.Health Science Reports - 2023 - Sharif - Molecular epidemiology  transmission and clinical features of 2022‐mpox outbreak,37808926,"Two cases of monkeypox imported to the United Kingdom, September 2018.",10.2807/1560-7917.ES.2018.23.38.1800509,2018,"Vaughan A, Aarons E, Astbury J, Balasegaram S, Beadsworth M, Beck CR, Chand M, O'Connor C, Dunning J, Ghebrehewet S, Harper N, Howlett-Shipley R, Ihekweazu C, Jacobs M, Kaindama L, Katwa P, Khoo S, Lamb L, Mawdsley S, Morgan D, Palmer R, Phin N, Russell K, Said B, Simpson A, Vivancos R, Wade M, Walsh A, Wilburn J",Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,,verified,,,2026-04-17T15:39:15.888120+00:00
30981594,8,5.Health Science Reports - 2023 - Sharif - Molecular epidemiology  transmission and clinical features of 2022‐mpox outbreak,37808926,"Human Monkeypox: Epidemiologic and Clinical Characteristics, Diagnosis, and Prevention.",10.1016/j.idc.2019.03.001,2019,"Petersen E, Kantele A, Koopmans M, Asogun D, Yinka-Ogunleye A, Ihekweazu C, Zumla A",Infectious disease clinics of North America,,verified,,,2026-04-17T15:41:05.866725+00:00
35998195,8,5.Health Science Reports - 2023 - Sharif - Molecular epidemiology  transmission and clinical features of 2022‐mpox outbreak,37808926,Urgent need for a non-discriminatory and non-stigmatizing nomenclature for monkeypox virus.,10.1371/journal.pbio.3001769,2022,"Happi C, Adetifa I, Mbala P, Njouom R, Nakoune E, Happi A, Ndodo N, Ayansola O, Mboowa G, Bedford T, Neher RA, Roemer C, Hodcroft E, Tegally H, O'Toole Á, Rambaut A, Pybus O, Kraemer MUG, Wilkinson E, Isidro J, Borges V, Pinto M, Gomes JP, Freitas L, Resende PC, Lee RTC, Maurer-Stroh S, Baxter C, Lessells R, Ogwell AE, Kebede Y, Tessema SK, de Oliveira T",PLoS biology,,verified,,,2026-04-17T15:41:25.753342+00:00
36801633,8,5.Health Science Reports - 2023 - Sharif - Molecular epidemiology  transmission and clinical features of 2022‐mpox outbreak,37808926,"Monkeypox (mpox) virus: Classification, origin, transmission, genome organization, antiviral drugs, and molecular diagnosis.",10.1016/j.jiph.2023.02.003,2023,"Karagoz A, Tombuloglu H, Alsaeed M, Tombuloglu G, AlRubaish AA, Mahmoud A, Smajlović S, Ćordić S, Rabaan AA, Alsuhaimi E",Journal of infection and public health,,verified,,,2026-04-17T15:42:22.083361+00:00
29790939,8,5.Health Science Reports - 2023 - Sharif - Molecular epidemiology  transmission and clinical features of 2022‐mpox outbreak,37808926,Nextstrain: real-time tracking of pathogen evolution.,10.1093/bioinformatics/bty407,2018,"Hadfield J, Megill C, Bell SM, Huddleston J, Potter B, Callender C, Sagulenko P, Bedford T, Neher RA","Bioinformatics (Oxford, England)",,verified,,,2026-04-17T15:43:22.985370+00:00
36447360,8,5.Health Science Reports - 2023 - Sharif - Molecular epidemiology  transmission and clinical features of 2022‐mpox outbreak,37808926,Risk profile and mode of transmission of Mpox: A rapid review and individual patient data meta-analysis of case studies.,10.1002/rmv.2410,2023,"Núñez-Cortés R, Calatayud J, López-Gil JF, Koyanagi A, Casaña J, López-Bueno R",Reviews in medical virology,,verified,,,2026-04-17T15:43:44.893765+00:00
