disease,status,ground_truth_count,screened_count,tp,fp,fn,tn,strong_count,possible_count,unlikely_count,missing_count,error_count,recall,precision,specificity,npv,f1,accuracy,workload_reduction,nns,mcc,wss95,profile,topic,project,model,data_source,prompt_style,experiment,raw_file,ground_truth_file,screened_file
covid19,ok,25,709,23,447,2,237,0,23,2,0,0,0.92,0.048936,0.346491,0.991632,0.092929,0.366714,0.337094,20.434783,0.103976,0.287094,P15,reproduction_number,15,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/reproduction_number/p15/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/reproduction_number/p15/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/reproduction_number/p15/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
covid19,ok,36,575,36,350,0,189,0,36,0,0,0,1.0,0.093264,0.350649,1.0,0.170616,0.391304,0.328696,10.722222,0.18084,0.278696,P16,reproduction_number,16,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/reproduction_number/p16/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/reproduction_number/p16/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/reproduction_number/p16/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
covid19,ok,15,209,14,130,1,64,0,14,1,0,0,0.933333,0.097222,0.329897,0.984615,0.176101,0.373206,0.311005,10.285714,0.146772,0.261005,P17,reproduction_number,17,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/reproduction_number/p17/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/reproduction_number/p17/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/reproduction_number/p17/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
mpox,ok,14,92,12,36,2,42,0,12,2,0,0,0.857143,0.25,0.538462,0.954545,0.387097,0.586957,0.478261,4.0,0.284463,0.428261,MP4,fatality,4,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/fatality/p4/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/fatality/p4/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/fatality/p4/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
mpox,ok,8,59,6,23,2,28,0,6,2,0,0,0.75,0.206897,0.54902,0.933333,0.324324,0.576271,0.508475,4.833333,0.204772,0.458475,MP5,serial_interval,5,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/serial_interval/p5/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/serial_interval/p5/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/serial_interval/p5/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
mpox,ok,5,522,4,170,1,347,0,4,1,0,0,0.8,0.022989,0.67118,0.997126,0.044693,0.672414,0.666667,43.5,0.097354,0.616667,MP6,serial_interval,6,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/serial_interval/p6/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/serial_interval/p6/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/serial_interval/p6/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
mpox,ok,27,352,17,122,10,203,0,17,10,0,0,0.62963,0.122302,0.624615,0.953052,0.204819,0.625,0.605114,8.176471,0.138414,0.555114,MP7,fatality,7,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/fatality/p7/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/fatality/p7/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/fatality/p7/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
mpox,ok,14,683,14,311,0,358,0,14,0,0,0,1.0,0.043077,0.535127,1.0,0.082596,0.544656,0.524158,23.214286,0.151828,0.474158,MP8,fatality,8,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/fatality/p8/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/fatality/p8/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/fatality/p8/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
mpox,ok,3,819,3,197,0,619,0,3,0,0,0,1.0,0.015,0.758578,1.0,0.029557,0.759463,0.7558,66.666667,0.106671,0.7058,MP9,reproduction_number,9,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/reproduction_number/p9/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/reproduction_number/p9/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/reproduction_number/p9/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
mpox,ok,15,612,13,198,2,399,0,13,2,0,0,0.866667,0.061611,0.668342,0.995012,0.115044,0.673203,0.655229,16.230769,0.174052,0.605229,MP10,serial_interval,10,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/serial_interval/p10/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/serial_interval/p10/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/serial_interval/p10/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
mpox,ok,5,63,4,31,1,27,0,4,1,0,0,0.8,0.114286,0.465517,0.964286,0.2,0.492063,0.444444,8.75,0.144437,0.394444,MP11,serial_interval,11,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/serial_interval/p11/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/serial_interval/p11/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/serial_interval/p11/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
mpox,ok,16,643,13,311,3,316,0,13,3,0,0,0.8125,0.040123,0.503987,0.990596,0.076471,0.511664,0.496112,24.923077,0.098601,0.446112,MP12,fatality,12,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/fatality/p12/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/fatality/p12/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/mpox/screening/fatality/p12/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
