PMID,is_ground_truth,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,Keywords,pub_types,mesh_terms,screening_stage,screening_mode,prompt_tokens,completion_tokens,total_tokens,wall_time_ms,llm_suggest,overall_score,overall_justification,disease_score,disease_justification,population_score,population_justification,location_score,location_justification,evidence_score,evidence_justification,parameter_score,parameter_justification,fulltext_status,fulltext_path,fulltext_eligible
37073653,,"Outbreak of Monkeypox Virus Disease: An Update on Epidemiology, Pathophysiology and Available Treatment Options.","Akash Kumar, Neeti Angaria, Gurvinder Singh, Rajesh Kumar",Infectious disorders drug targets. 2023. doi: 10.2174/1871526523666230418121045..,Kumar,Infectious disorders drug targets,2023,2023/01/01,,,10.2174/1871526523666230418121045,"The monkeypox virus is a zoonotic illness with a tropical distribution in Africa, and around the world. The disease is spread through contact with infected animals or humans, and can also be spread from person to person through close contact with respiratory or bodily fluids. Fever, swollen lymph nodes, blisters, and crusted rashes characterize the disease. The incubation period is five to twenty-one days. It is difficult to distinguish the rash caused by infection from varicella and smallpox. Laboratory investigations are essential aspects of illness diagnosis and surveillance, and novel tests are required for more accurate and faster diagnosis. Antiviral drugs are being used to treat monkeypox. Scarring as well as other comorbidities, are prevalent in survivors, with the case mortality rate varying from 1 to 11%. The virus was found in monkeys at a Danish research facility in 1958, from which the term 'monkeypox' is derived. The primary human case was found in a child in the Democratic Republic of the Congo (DRC) in 1970. The World Health Organisation (WHO) has recently declared monkeypox a public health emergency of international concern. This manuscript attempts to review the various aspects of monkeypox disease and its allopathic as well as alternative treatment options available and serves as a valuable resource for healthcare professionals, researchers, and the general public.",Monkeypox; antivirals; chickenpox; herbs; outbreak; smallpox; zoonotic viral disease,Journal Article,"[MeSH] Child; [MeSH] Animals; [MeSH] Humans; [MeSH] Monkeypox virus; [MeSH] Mpox, Monkeypox; [MeSH] Disease Outbreaks; [MeSH] Africa; [MeSH] Public Health",title_abstract,strict,1045,819,1864,40676.6,unlikely_candidate,3,"The study is a review article on monkeypox that explicitly mentions the incubation period, making it topically relevant. However, it lacks original empirical data, so it cannot contribute primary evidence on serial intervals or incubation periods.",4,"The title, abstract, and keywords explicitly focus on monkeypox virus disease.",4,"The abstract discusses human-to-human transmission, symptoms in humans, and MeSH includes 'Humans'.",3,"The abstract mentions a tropical distribution in Africa and the first human case in DRC, indicating a real-world geographic context, though not a specific location-based study.",1,"The abstract states 'This manuscript attempts to review...', clearly indicating a review article. PubMed Publication Type is 'Journal Article' only, with no primary-research types. Reviews are not original empirical evidence.",4,"The abstract explicitly states 'The incubation period is five to twenty-one days', directly reporting a target parameter.",,,
36573222,,Study and prediction of the 2022 global monkeypox epidemic.,"Fengying Wei, Zhihang Peng, Zhen Jin, Jinjie Wang, Ximing Xu, Xinyan Zhang, Jun Xu, Zixiong Ren, Yao Bai, Xiaoli Wang, Bulai Lu, Zhaojun Wang, Jianguo Xu, Senzhong Huang",Journal of biosafety and biosecurity. 2022. doi: 10.1016/j.jobb.2022.12.001..,Wei,Journal of biosafety and biosecurity,2022,2022/12/22,,,10.1016/j.jobb.2022.12.001,"The World Health Organization (WHO) declared monkeypox as a public health emergency of international concern (PHEIC) on July 23, 2022, their highest level of alert. This raised concerns about the management of the global monkeypox outbreak, as well as the scientific analysis and accurate prediction of the future course of the epidemic. This study used EpiSIX (an analysis and prediction system for epidemics based on a general SEIR model) to analyze the monkeypox epidemic and to forecast the major tendencies based on data from the USA CDC (https://www.cdc.gov) and the WHO (https://www.who.int/health-topics/monkeypox). The global outbreak of monkeypox started in the UK on May 2, 2022, which marked the beginning of an epidemic wave. As of October 28, 2022, the cumulative number of reported cases worldwide was 77,115, with 36 deaths. EpiSIX simulations predict that the global monkeypox epidemic will enter a low epidemic status on March 1, 2023 with the cumulative number of confirmed cases ranging from 85,000 to 124,000, and the total number of deaths ranging from 60 to 87. Our analysis revealed that the basic reproduction number (R0) of monkeypox virus (MPXV) is near to 3.1 and the percentage of asymptomatic individuals is 13.1 %-14.5 %, both of which are similar to the data for SARS. The vaccination efficiency against susceptibility (VEs) of individuals who have had monkeypox is ∼ 79 %, and the vaccination efficiency against infectiousness (VEi) of individuals who have had monkeypox is ∼ 76 %-82 %. The mean incubation period for monkeypox is 8 days. In total, 94.7 % of infected individuals develop symptoms within 20 days and recover within 2 weeks after the confirmation of symptoms. Simulation results using EpiSIX showed that ring vaccination was remarkably effective against monkeypox. Our findings confirmed that a 20-day isolation for close contacts is necessary.",Epidemic; Monkeypox; Prediction; Tendency,Journal Article,,title_abstract,strict,1133,1143,2276,37853.8,strong_candidate,4,"The study is highly relevant. It focuses on the mpox epidemic, uses global human case data, presents original epidemiological analysis, and explicitly reports the mean incubation period, a target parameter of the research question.",4,The title and abstract explicitly state the study is about the 2022 global monkeypox epidemic and the monkeypox virus (MPXV).,4,"The study analyzes global human case data and discusses parameters like asymptomatic individuals and vaccination efficiency in people, clearly concerning human populations.",4,"The study analyzes global outbreak data from the USA CDC and WHO, providing a real-world geographic context.",4,"The abstract reports original analysis and simulation results (e.g., R0, asymptomatic percentage, incubation period) using the EpiSIX model on reported case data. The publication type is 'Journal Article', and the content describes primary analysis, not a review.",4,"The abstract explicitly reports 'The mean incubation period for monkeypox is 8 days', which is a direct target parameter of the research question.",,,
36245389,,Applicability and benefits of telemedicine in the monitoring of monkeypox close contacts.,"Benjamin Zhi Qiang Seah, Eugene Thong Chuan Koh, Elaine Wei Ting Lim, Shawn Vasoo, Si Jack Chong",Journal of telemedicine and telecare. 2022. doi: 10.1177/1357633X221130290..,Seah,Journal of telemedicine and telecare,2024,2022/10/17,,,10.1177/1357633X221130290,"Monkeypox is a zoonotic disease caused by the monkeypox virus and classically presents as a vesicular rash accompanied by fever and lymphadenopathy. Singapore reported the first imported case of monkeypox infection on 21 June 2022, the first local unlinked case on 6 July 2022, and the first local linked case on 5 August 2022. Telemedicine was used in the management of monkeypox close contacts to (1) screen for the development of signs and symptoms consistent with monkeypox infection, (2) assess for successful post-exposure prophylaxis via direct visualisation of vaccination site morphological progression, (3) detect serious reactions arising from post-exposure prophylaxis administration, and (4) evaluate for deterioration in mental health status during the 21-day quarantine period. A case series of 13 close contacts who received post-exposure prophylaxis in the form of the ACAM2000 live Vaccinia virus preparation is presented, illustrating the safe and efficacious application of telemedicine in the clinical follow-up of quarantined close contacts throughout the 21-day incubation period, and post-exposure prophylaxis monitoring. Inherent limitations included difficulties in the assessment of sensitive areas such as the peri-genital and peri-anal regions and video quality-related issues.",home telecare; monkeypox; teledermatology; telehealth; telemedicine,Journal Article,"[MeSH] Humans; [MeSH] Telemedicine; [MeSH] Male; [MeSH] Mpox, Monkeypox; [MeSH] Adult; [MeSH] Female; [MeSH] Post-Exposure Prophylaxis; [MeSH] Middle Aged; [MeSH] Contact Tracing; [MeSH] Singapore; [MeSH] Young Adult; [MeSH] Quarantine",title_abstract,strict,1049,920,1969,45326.3,unlikely_candidate,3,"The paper is a primary case series on telemedicine monitoring of mpox contacts in Singapore. While it is directly about mpox in humans and provides original data, it does not estimate or report serial intervals or incubation periods; it merely references the standard incubation period for context. Therefore, it is not relevant to the research question on serial intervals and incubation period.",4,"Title, abstract, and MeSH terms explicitly focus on monkeypox/mpox.",4,MeSH includes 'Humans'; abstract describes close contacts and post-exposure prophylaxis in people.,4,Abstract specifies Singapore as the real-world geographic setting.,4,"Abstract presents a case series of 13 close contacts, indicating original empirical data. Publication type is Journal Article without review indexing.",1,"The study mentions 'the 21-day incubation period' only as a known quarantine duration, not as an estimated parameter. No serial interval or incubation period is reported or analyzed. MeSH terms lack 'Basic Reproduction Number' or 'Serial Interval'.",,,
37649257,,"Clinical, epidemiological, and virological features of Mpox in Beijing, China - May 31-June 21, 2023.","Xiangfeng Dou, Fu Li, Zhenyong Ren, Daitao Zhang, Jia Li, Dan Li, Yulan Sun, Haoyuan Jin, Renqing Li, Weihong Li, Xin Zhang, Yang Yang, Lei Jia, Yu Han, Wai Li, Yang Pan, Wenjie Tan, Peng Yang, Quanyi Wang",Emerging microbes & infections. 2023. doi: 10.1080/22221751.2023.2254407..,Dou,Emerging microbes & infections,2023,2023/12/01,,,10.1080/22221751.2023.2254407,"The first locally acquired case in the Chinese mainland was reported on May 31, 2023, lagging behind other countries. In this study, we aimed to examine the early clinical and epidemiological characteristics of the earliest cases of Mpox in Beijing, China. Additionally, we investigated the sequence and transmission patterns of the Mpox virus (MPXV). We analyzed 37 reported cases of Mpox in Beijing from May 31, 2023 to June 21, 2023. The age range of the subjects was 24-51 years. Thirty-six cases (97.3%) were identified in men who have sex with men (MSM), and 19 cases (51.4%) tested positive for the human immunodeficiency virus. Thirty-three cases were symptomatic, while four were asymptomatic. Skin lesions were observed in 32 cases (97.0%), fever in 26 (78.8%), and swollen lymph nodes in 17 (51.5%). Rash typically appeared in the genital or perianal area 1-3 days before fever onset, with a minimum incubation period of 2 days. For individuals with skin rashes, the skin lesion samples showed 100% positivity and low Ct values. There were high oropharyngeal swab (75.8%) and blood (84.6%) positivity rates. All MPXV strains belonged to the B.1.3 branch of the West African lineage. These strains carried 76-86 nucleotide substitutions compared with the reference human MPXV genome, and genetic diversity was observed. Our findings provide the first insights into the landscape of early transmission of Mpox in Beijing and help inform policy formulation in the Chinese mainland.",China; MPXV; Mpox; men who have sex with men; next generation sequencing,Journal Article,"[MeSH] Male; [MeSH] Humans; [MeSH] Young Adult; [MeSH] Adult; [MeSH] Middle Aged; [MeSH] Beijing; [MeSH] Homosexuality, Male; [MeSH] Mpox, Monkeypox; [MeSH] Sexual and Gender Minorities; [MeSH] China; [MeSH] Fever",title_abstract,strict,1138,1298,2436,67397.8,possible_candidate,4,"The study is directly on Mpox in humans, provides original empirical data from Beijing, and reports a minimum incubation period. It does not address serial interval, so it is partially relevant to the research question.",4,"The title, keywords, and abstract explicitly state the study investigates Mpox (monkeypox).",4,The study analyzes 37 human cases; MeSH terms include 'Humans'.,4,"The study is set in Beijing, China, a real-world geographic context.",4,"The abstract describes original analysis of primary clinical and epidemiological data from 37 cases, with no indication of a review or secondary research.",3,"The abstract explicitly reports a minimum incubation period of 2 days, but serial interval is not mentioned. Incubation period is present but not the central focus of the study.",,,
35924712,,Monkeypox 2022: A Primer and Identify-Isolate-Inform (3I) Tool for Emergency Medical Services Professionals.,"Kristi L Koenig, Christian K Beÿ, Aileen M Marty",Prehospital and disaster medicine. 2022. doi: 10.1017/S1049023X22001121..,Koenig,Prehospital and disaster medicine,2022,2022/08/04,,,10.1017/S1049023X22001121,"Monkeypox 2022 exhibits unprecedented human-to-human transmission and presents with different clinical features than those observed in prior outbreaks. Previously endemic only to West and Central Africa, the monkeypox virus spread rapidly world-wide following confirmation of a case in the United Kingdom on May 7, 2022 of an individual that had traveled to Nigeria. Detection of cases with no travel history confirms on-going community spread. Emergency Medical Services (EMS) professionals will likely encounter patients suspected or confirmed to have monkeypox, previously a rare disease and therefore unfamiliar to most clinicians. Consequently, it is critical for EMS medical directors to immediately implement policies and procedures for EMS teams - including emergency medical dispatchers - to identify potential monkeypox cases. These must include direction on actions EMS professionals should take to protect themselves and others from virus transmission. Monkeypox 2022 may manifest more subtly than it has historically. Presentations include a subclinical prodrome and less dramatic skin lesions - potentially limited to genital or anal body regions - which can be easily confused with dermatologic manifestations of common sexually transmitted infections (STIs). While most readily spread by close contact with infectious skin lesions on a patient, it is also transmissible from fomites, such as bed sheets. Additionally, droplet transmission can occur, and the virus can be spread by aerosolization under certain conditions. The long incubation period could have profound negative consequences on EMS staffing if clinicians are exposed to monkeypox. This report summarizes crucial information needed for EMS professionals to understand and manage the monkeypox 2022 outbreak. It presents an innovative Identify-Isolate-Inform (3I) Tool for use by EMS policymakers, educators, and clinicians on the frontlines who may encounter monkeypox patients. Patients are identified as potentially exposed or infected after an initial assessment of risk factors with associated signs and symptoms. Prehospital workers must immediately don personal protective equipment (PPE) and isolate infectious patients. Also, EMS professionals must report exposures to their agency infection control officer and alert health authorities for non-transported patients. Prehospital professionals play a crucial role in emerging and re-emerging infectious disease mitigation. The monkeypox 2022 3I Tool includes knowledge essential for all clinicians, plus specific information to guide critical actions in the prehospital environment.",Emergency Medical Services; emergency medical dispatch; infectious disease outbreak; monkeypox; patient isolation,Journal Article,"[MeSH] Disease Outbreaks; [MeSH] Emergency Medical Services; [MeSH] Humans; [MeSH] Mpox, Monkeypox; [MeSH] Personal Protective Equipment; [MeSH] Travel",title_abstract,strict,1219,880,2099,30274.3,unlikely_candidate,3,"The study is highly relevant to mpox and human populations in a real-world context. However, it is a primer and guidance tool, not an original empirical study. While it mentions the 'long incubation period', it does not report or analyze serial intervals or incubation periods as primary data, making it irrelevant for the target parameter.",4,"The title, abstract, and keywords explicitly focus on monkeypox (mpox) in the context of the 2022 outbreak, making it the central topic.",4,"The study is entirely focused on human patients, EMS professionals, and human-to-human transmission. The MeSH term 'Humans' confirms this.",3,"The abstract discusses the global spread of the 2022 outbreak, mentioning specific locations like the UK and Nigeria, and focuses on real-world prehospital and community settings.",1,The publication type is 'Journal Article' and the abstract describes a 'Primer' and 'Tool' summarizing crucial information for management. It does not report original empirical data or primary analysis of serial intervals or incubation periods. It is a guidance/review document.,2,"The abstract mentions 'The long incubation period' in the context of EMS staffing consequences, but it does not report, estimate, or analyze the incubation period or serial interval. The mention is incidental to the paper's main purpose as a management tool.",,,
36248765,,Monkeypox: EpiMPX Surveillance System and Open Data with a Special Focus on European and Italian Epidemic.,"Francesco Branda, Massimo Pierini, Sandra Mazzoli",Journal of clinical virology plus. 2022. doi: 10.1016/j.jcvp.2022.100114..,Branda,Journal of clinical virology plus,2022,2022/10/04,,,10.1016/j.jcvp.2022.100114,"BACKGROUND: The current out-of-Africa 2022 outbreak of Monkeypox requires a coordinated, international response through the rapid sharing of data and research results, as we have seen with COVID-19 and the previous Ebola and Zika outbreaks, which demonstrated how important real-world data are to inform public health, to create surveillance systems, to determine policy decisions and to improve clinical trials. OBJECTIVES: To support global response efforts by providing public access to real-time Monkeypox-related data for effective use of open data that could accelerate scientific knowledge and discoveries in terms of understanding, preventing, and treating the disease. In practice, to create a new surveillance system easy to consult and utilize. STUDY DESIGN: This work aims to build a surveillance system, namely EpiMPX, that allows researchers and policymakers to monitor the impact of Monkeypox in Europe, with a special focus on the epidemic trends in the Italian regions, based on an open-access database containing information on the laboratory confirmed Monkeypox cases reported by EU/EEA countries and updated once a week. In addition, users will be provided open-access R codes to estimate key epidemiological parameters such as the reproduction number (updating the Serial Interval distribution when new estimates will be published) and produce real-time results on their devices. RESULTS: EpiMPX monitors the space-time distribution of cases and their characteristics, such as age, gender, symptoms, clinical status, and sexual orientation, when available. Even if it is currently too early for reliable calculation of epidemiological parameters, we estimated reproduction number R t in European countries with more than 28 days of observed incidence, assuming that the Serial Interval (SI) early estimate in Italy is valid for other countries too. This provides a direct visual assessment of the geographic distribution of risk areas as well as insights into the evolution of the outbreak over time. Italian data were evaluated concerning gender, region prevalence and cumulative data. CONCLUSIONS: The proposed EpiMPX surveillance system provides an overview of the European and Italian Monkeypox epidemiological situation with an open-access database to support epidemiological understanding of the origins and transmission dynamics of the disease with informative graphical outputs. These data confirmed the prevalent expression of Monkeypox within males, both in Europe and Italy. European MSM patients were affected by Monkeypox in a high percentage, confirming close sexual contact and possible sexual transmission. For the first time, Italian data on the regional distribution of cases and gender distribution were graphically evaluated. The data and research results are freely available and can be easily enriched to provide a prompt response to the scientific community and accelerate global efforts to contain the Monkeypox virus.",Emerging viruses; Monkeypox; Public health; Virus surveillance,Journal Article,,title_abstract,strict,1231,1273,2504,29579.9,possible_candidate,3,"The study is highly relevant to mpox in human populations and provides original surveillance data. However, it does not directly estimate or report serial intervals or incubation periods, using an existing serial interval estimate only as an input for reproduction number calculations. Thus, it is not a primary source for the target parameters.",4,"The title, abstract, and keywords explicitly and centrally focus on Monkeypox (mpox).",4,"The study monitors human cases, including demographics and clinical characteristics, confirming a human population focus.",4,"The surveillance system targets European and Italian epidemics, providing real-world geographic context.",3,"The paper describes a surveillance system and includes original analysis (R_t estimation) using real-world data. It is not a review or editorial, but the primary contribution is the system and open data rather than a standalone epidemiological study.",2,"Serial interval is mentioned as an assumed input for R_t estimation, but the study does not report new estimates of serial interval or incubation period. The parameter is only indirectly relevant.",,,
37260588,,Features of Mpox infection: The analysis of the data submitted to the ID-IRI network.,"Gulden Eser-Karlidag, Enrique Chacon-Cruz, Yasemin Cag, Jose Arturo Martinez-Orozco, Humberto Gudino-Solorio, Raul Adrian Cruz-Flores, Andrea Gonzalez-Rodriguez, Daniela Martinez-Nieves, Mario Gomez-Zepeda, Andrea Calderon-Suarez, Hülya Çaşkurlu, Antonio Cascio, Ricardo Fernandez, Greisha M Gonzales, Pedro Palma, Corneliu Petru Popescu, Roman Stebel, Botond Lakatos, Eva Nagy, Massimiliano Lanzafame, Amani El-Kholy, Buse Tuncer, Iva Christova, Stefka Krumova, Alexandre Naime Barbosa, Juan Pablo Escalera-Antezana, Ruben Castillo-Quino, Carlos Eduardo Gonzales-Flores, Miriam Moreira-Flores, Marcelo Felipe Batallanos-Huarachi, Christian Gomez-Davila, Rusmir Baljic, Tarsila Vieceli, Olumuyiwa Elijah Ariyo, Mireia Cairo Llobell, Osasona Oluwadamilola Gideon, Augustus Osborne, Umran Elbahr, Philippe Bossi, Antonella Tammaro, Alfonso J Rodriguez-Morales, Hakan Erdem",New microbes and new infections. 2023. doi: 10.1016/j.nmni.2023.101154..,Eser-Karlidag,New microbes and new infections,2023,2023/05/20,,,10.1016/j.nmni.2023.101154,"BACKGROUND: Mpox is a rare zoonotic disease caused by the Mpox virus. On May 21, 2022, WHO announced the emergence of confirmed Mpox cases in countries outside the endemic areas in Central and West Africa. METHODS: This multicentre study was performed through the Infectious Diseases International Research Initiative network. Nineteen collaborating centres in 16 countries participated in the study. Consecutive cases with positive Mpoxv-DNA results by the polymerase chain reaction test were included in the study. RESULTS: The mean age of 647 patients included in the study was 34.5.98.6% of cases were males, 95.3% were homosexual-bisexual, and 92.2% had a history of sexual contact. History of smallpox vaccination was present in 3.4% of cases. The median incubation period was 7.0 days. The most common symptoms and signs were rashes in 99.5%, lymphadenopathy in 65.1%, and fever in 54.9%. HIV infection was present in 93.8% of cases, and 17.8% were followed up in the hospital for further treatment. In the two weeks before the rash, prodromal symptoms occurred in 52.8% of cases. The incubation period was 3.5 days shorter in HIV-infected Mpox cases with CD4 count <200/μL, we disclosed the presence of lymphadenopathy, a characteristic finding for Mpox, accompanied the disease to a lesser extent in cases with smallpox vaccination. CONCLUSIONS: Mpox disseminates globally, not just in the endemic areas. Knowledge of clinical features, disease transmission kinetics, and rapid and effective implementation of public health measures are paramount, as reflected by our findings in this study.",HIV-Infected mpox; Mpox; Outbreak; Smallpox vaccine,Journal Article,,title_abstract,strict,1077,757,1834,15831.6,strong_candidate,4,"The study provides original empirical data on the incubation period of mpox in a large, multicountry human cohort. Although serial interval is not reported, the explicit reporting of incubation period makes it highly relevant to the research question.",4,"The title and abstract explicitly state the study is about Mpox infection, caused by the Mpox virus. The entire study focuses on Mpox cases.",4,The study includes 647 human patients with confirmed Mpox. All data pertain to human cases.,4,"The study is a multicentre investigation across 19 centres in 16 countries, providing real-world geographic context.",4,"The abstract describes a multicentre study with original data collection (consecutive PCR-positive cases), analysis, and results. PubMed Publication Type is 'Journal Article' and the content indicates primary empirical research, not a review.",4,"The abstract explicitly reports the median incubation period (7.0 days) and further analyses incubation period by HIV/CD4 status. Incubation period is a central outcome. Serial interval is not mentioned, but the study directly addresses one of the two target parameters.",,,
36345424,,The current Monkeypox outbreak: Updates and concerns.,"Abdurrahman Najeeb, Youssef M Eltalkhawy, Omnia Reda",Journal of Taibah University Medical Sciences. 2022. doi: 10.1016/j.jtumed.2022.08.001..,Najeeb,Journal of Taibah University Medical Sciences,2023,2022/08/26,,,10.1016/j.jtumed.2022.08.001,"Since 1958 witnessed the detection of Monkeypox virus in monkeys, no human infection was encountered until 1970. Afterwards, zoonotic transmission was the rule near African rainforests, mainly in DRC. Most cases occurred in children who weren't immunized against smallpox. Since 2003 and the first human infection in the USA, research was accelerated. Two clades were identified with different virulence, demographic distribution and transmissibility. The mean age of infection increased with waning smallpox vaccine immunity. Mild febrile prodrome can precede lymphadenopathy, which doesn't occur in smallpox. Homogenous crops of lesions appear in stages until scabs fall and contagiosity ends. However, since May outbreak, cases started to appear in non-endemic areas, human transmission increased and was linked to close sexual contact especially in MSM community. Lesions were found mainly perioral, at genitals and perianal. Newer system for nomenclature was suggested in which there are 3 viral clades and the responsible clade for the outbreak is clade 3 (lineage B.1). About 50 mutations were detected compared with the strains isolated 4 years ago. Gene loss and APOBEC3 may be related to accelerated mutation rate which may accelerate human transmission. Previous mistakes in failure to allocate available vaccines to control the disease in previously endemic areas should be avoided and rapid ring vaccination of potential contacts and those at risk should be a priority. Case isolation, contact isolation or tracing for an incubation period, standard measures for airborne infections and safe sex should be implanted in the light of the current uncertainty.",Africa; Control; Diagnosis; Monkeypox; Prevention; Transmission,Journal Article,,title_abstract,strict,1027,880,1907,43347.4,unlikely_candidate,3,"The paper is a narrative update on monkeypox, lacking original empirical data on serial intervals or incubation period. It mentions incubation period only incidentally, making it irrelevant for extracting primary estimates for the systematic review.",4,"The title, keywords, and abstract explicitly focus on Monkeypox virus and the current outbreak.",4,"The abstract discusses human infections, cases in children, and transmission in MSM community, clearly concerning human populations.",4,"Real-world geographic contexts are mentioned, including Africa, DRC, USA, and non-endemic areas.",1,"The abstract summarizes existing knowledge and provides recommendations without presenting original empirical data or primary analysis. The publication type 'Journal Article' alone does not indicate original research, and the content resembles a review or commentary.",2,"The term 'incubation period' appears only in a general recommendation ('tracing for an incubation period'), not as a reported estimate or study outcome. No serial interval is mentioned. The parameter is not a focus of the paper.",,,
38271932,,"Epidemiological, clinical and virological characteristics of patients with monkeypox. A retrospective study.","Patricia A Fernández Pardal, Lucila Marchetta, María Gracia Funes Ghigi, María Belén Bouzas, Lilia Mammana, María Javiera Perelló, José Luis Francos, Ignacio Braga, Daniela Masini, Pablo A Saúl, Viviana Leiro",Medicina. 2024.,Fernández,Medicina,2024,2024/01/01,,,,"INTRODUCTION: The outbreak of monkeypox occurred in 2022 and led to a fast spread of the disease worldwide. The goal of this study is to describe the epidemiological, clinical, virological and evolving characteristics of the disorder. METHODS: We conducted a retrospective, observational and analytical study between July and October, 2022, in a Dermatology Unit. RESULTS: 124 subjects were included. Mean age was 31.5 years, 123 (99.2%) were men and 75 (60.5%) were HIV positive. The main transmission route was sexual and the incubation period was 7 days. The onset of the rash were the genitalia and perianal region in 74.2% of cases, and median time elapsed until the last scab fell off was 16 days. All patients developed a vesicular rash and 86.3% of them had systemic symptoms. Disease was moderate in 68.5% of patients and complications occurred most often when systemic symptoms and/or disseminated skin disease were present. Proctitis was the most frequent complication (59.4%) and its greater incidence was seen in the population with HIV. No significant difference was observed in real-time PCR cycle threshold values with regards to type of sample or duration of disease. Survival rate was 99.2% and other concomitant sexually transmitted infections were detected in 33.8% of patients. DISCUSSION: It is important to suspect the disease in subjects with high-risk sexual practices and a consistent clinical presentation. Swab samples of lesions as well as of scabs have proven useful for the diagnosis.",HIV; monkeypox; rash; skin; virosis,Journal Article,"[MeSH] Male; [MeSH] Humans; [MeSH] Adult; [MeSH] Female; [MeSH] Mpox, Monkeypox; [MeSH] Retrospective Studies; [MeSH] Disease Outbreaks; [MeSH] Exanthema; [MeSH] Proctitis",title_abstract,strict,1094,1205,2299,57308.9,possible_candidate,4,"This retrospective study of 124 monkeypox patients directly reports an incubation period estimate (7 days), making it partially relevant to the research question on incubation periods. However, it does not address serial intervals. The study is original empirical research in humans, though the geographic location is not specified. It provides useful data for the incubation period component of the review.",4,"The title and abstract explicitly state the study is about monkeypox (Mpox). MeSH term 'Mpox, Monkeypox' confirms disease focus.",4,"The study includes 124 human subjects (99.2% men, 60.5% HIV positive). MeSH terms 'Humans', 'Male', 'Female', 'Adult' confirm human population.",2,"The abstract mentions a 'Dermatology Unit' but provides no geographic location (country/region). Real-world context is implied by the 2022 outbreak, but location is unspecified.",4,"The study is a retrospective, observational, analytical study with original data collection (124 patients). MeSH term 'Retrospective Studies' and the abstract's description confirm primary empirical research, not a review.",3,"The abstract explicitly reports 'the incubation period was 7 days', which is a target parameter. Serial interval is not mentioned. Incubation period is clearly present but not the sole focus of the paper.",,,
38785093,,"Mpox in children and adolescents and contact follow-up in school settings in greater Paris, France, May 2022 to July 2023.","Laura Reques, Lilas Mercuriali, Yassoungo Silué, Emilie Chazelle, Guillaume Spaccaferri, Annie Velter, Alexandra Mailles, Pierre Frange, Arnaud Tarantola",Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin. 2024. doi: 10.2807/1560-7917.ES.2024.29.21.2300555..,Reques,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,2024,2024/05/01,,,10.2807/1560-7917.ES.2024.29.21.2300555,"BackgroundDuring the 2022 mpox outbreak in Europe, primarily affecting men who have sex with men, a limited number of cases among children and adolescents were identified. Paediatric cases from outbreaks in endemic countries have been associated with a higher likelihood of severe illness. Detailed clinical case descriptions and interventions in school settings before 2022 are limited.AimTo describe clinical characteristics of mpox cases among children (< 15 years) and adolescents (15-17 years) in the greater Paris area in France, and infection control measures in schools.MethodsWe describe all notified laboratory-confirmed and non-laboratory-confirmed cases among children and adolescents identified from May 2022 to July 2023, including demographic and clinical characterisation and infection control measures in school settings, i.e. contact tracing, contact vaccination, secondary attack rate and post-exposure vaccination uptake.ResultsNineteen cases were notified (13 children, 6 adolescents). Four adolescent cases reported sexual contact before symptom onset. Ten child cases were secondary cases of adult patients; three cases were cryptic, with vesicles on hands, arms and/or legs and one case additionally presented with genitoanal lesions. Five cases attended school during their infectious period, with 160 at-risk contacts identified, and one secondary case. Five at-risk contacts were vaccinated following exposure.ConclusionCases among children and adolescents are infrequent but require a careful approach to identify the source of infection and ensure infection control measures. We advocate a 'contact warning' strategy vs 'contact tracing' in order to prevent alarm and stigma. Low post-exposure vaccination rates are expected.",Mpox; contact tracing; paediatric; surveillance; vaccination,Journal Article,"[MeSH] Humans; [MeSH] Adolescent; [MeSH] Contact Tracing; [MeSH] Male; [MeSH] Child; [MeSH] Female; [MeSH] Disease Outbreaks; [MeSH] Schools; [MeSH] Paris; [MeSH] Vaccination; [MeSH] Homosexuality, Male; [MeSH] Follow-Up Studies; [MeSH] Meningococcal Infections; [MeSH] Mpox, Monkeypox",title_abstract,strict,1134,1227,2361,57970.8,unlikely_candidate,3,"The study is a relevant primary investigation of mpox in a human population in a real-world setting. However, it does not report serial intervals or incubation periods, focusing instead on case descriptions and secondary attack rate. Therefore, it does not address the research question.",4,"The title and abstract explicitly state the study investigates mpox (monkeypox). MeSH term 'Mpox, Monkeypox' confirms disease focus.",4,"The study concerns human children and adolescents. MeSH terms include 'Humans', 'Adolescent', 'Child'.",4,"The study is set in greater Paris, France, a real-world geographic context, as stated in the title and abstract.",4,"The abstract describes original data collection: 'We describe all notified laboratory-confirmed and non-laboratory-confirmed cases...' This is a primary epidemiological study, not a review or editorial. MeSH terms 'Follow-Up Studies' and 'Contact Tracing' support original research.",0,"The abstract does not mention serial interval, incubation period, or latent period. It reports secondary attack rate and clinical characteristics, but not the target parameters. MeSH terms lack 'Basic Reproduction Number', 'Serial Interval', or related indexing.",,,
